Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PAYA LEBAR SQUARE,"4,351,600","2,023.63","2,150",17 Oct 2018,"60 PAYA LEBAR ROAD #08-32,33,34",Resale,Strata,188,"23,147",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
N.A.,"2,800,000","1,517.72","1,845",19 Oct 2018,36 ARMENIAN STREET #04-08,Resale,Strata,141,"19,858",Office,99 yrs from 21/09/2007,06,17,179934,Central Region,Museum
THE MODULES,"753,000",538.2,"1,399",22 Oct 2018,387 JOO CHIAT ROAD #01-01,Resale,Strata,50,"15,060",Office,Freehold,15,42,427623,Central Region,Marine Parade
WOODS SQUARE,"1,105,209",559.73,"1,975",22 Oct 2018,12 WOODLANDS SQUARE #05-64,New Sale,Strata,52,"21,254",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
SAMSUNG HUB,"10,805,400","3,132.32","3,450",23 Oct 2018,3 CHURCH STREET #12-02,Resale,Strata,291,"37,132",Office,999 yrs from 25/01/1827,01,04,049483,Central Region,Downtown Core
WOODS SQUARE,"1,111,315",559.73,"1,985",23 Oct 2018,12 WOODLANDS SQUARE #04-87,New Sale,Strata,52,"21,371",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
INTERNATIONAL PLAZA,"1,740,000",936.47,"1,858",25 Oct 2018,"10 ANSON ROAD #23-01,01A",Resale,Strata,87,"20,000",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
PAYA LEBAR SQUARE,"970,000",505.91,"1,917",26 Oct 2018,60 PAYA LEBAR ROAD #05-34,Resale,Strata,47,"20,638",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
VISION EXCHANGE,"1,750,000",764.24,"2,290",29 Oct 2018,2 VENTURE DRIVE #12-11,Resale,Strata,71,"24,648",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
INTERNATIONAL PLAZA,"1,660,000",936.47,"1,773",29 Oct 2018,10 ANSON ROAD #23-12,Resale,Strata,87,"19,080",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
SUNTEC TOWER ONE,"5,125,000","2,131.27","2,405",29 Oct 2018,7 TEMASEK BOULEVARD #19-02,Resale,Strata,198,"25,884",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
THE PLAZA,"590,000",527.44,"1,119",30 Oct 2018,7500A BEACH ROAD #10-303,Resale,Strata,49,"12,041",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
CITY PLAZA,"680,000",182.99,"3,716",30 Oct 2018,810 GEYLANG ROAD #01-33,Resale,Strata,17,"40,000",Office,Freehold,14,40,409286,Central Region,Geylang
WOODS SQUARE,"1,052,923",559.73,"1,881",30 Oct 2018,12 WOODLANDS SQUARE #02-81,New Sale,Strata,52,"20,249",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
ORCHARD PLAZA,"421,000",193.75,"2,173",01 Nov 2018,150 ORCHARD ROAD #04-47,Resale,Strata,18,"23,389",Office,99 yrs from 02/06/1977,09,23,238841,Central Region,Orchard
SOUTHBANK,"1,460,000",914.94,"1,596",01 Nov 2018,883 NORTH BRIDGE ROAD #04-05,Resale,Strata,85,"17,176",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
PAYA LEBAR SQUARE,"1,000,000",538.2,"1,858",02 Nov 2018,60 PAYA LEBAR ROAD #09-10,Resale,Strata,50,"20,000",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PENINSULA PLAZA,"2,397,600","1,184.04","2,025",02 Nov 2018,111 NORTH BRIDGE ROAD #10-03,Resale,Strata,110,"21,796",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
THE PLAZA,"450,000",398.27,"1,130",05 Nov 2018,7500A BEACH ROAD #10-304,Resale,Strata,37,"12,162",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
JALAN BESAR PLAZA,"1,500,000","1,151.75","1,302",07 Nov 2018,101 KITCHENER ROAD #03-12,Resale,Strata,107,"14,019",Office,Freehold,08,20,208511,Central Region,Kallang
THE OCTAGON,"9,415,350","3,842.75","2,450",07 Nov 2018,105 CECIL STREET #06-01,Resale,Strata,357,"26,374",Office,Freehold,01,06,069534,Central Region,Downtown Core
ORCHARD TOWERS,"888,000",452.09,"1,964",08 Nov 2018,400 ORCHARD ROAD #06-14,Resale,Strata,42,"21,143",Office,Freehold,09,23,238875,Central Region,Orchard
PENINSULA PLAZA,"1,265,000",505.91,"2,500",08 Nov 2018,111 NORTH BRIDGE ROAD #02-46,Resale,Strata,47,"26,915",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,010,000",516.67,"1,955",12 Nov 2018,60 PAYA LEBAR ROAD #13-39,Resale,Strata,48,"21,042",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE PLAZA,"485,000",430.56,"1,126",12 Nov 2018,7500A BEACH ROAD #10-305,Resale,Strata,40,"12,125",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
SOUTHBANK,"1,050,000",688.9,"1,524",13 Nov 2018,883 NORTH BRIDGE ROAD #05-01,Resale,Strata,64,"16,406",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
FORTUNE CENTRE,"1,540,000","1,076.4","1,431",13 Nov 2018,190 MIDDLE ROAD #18-02,Resale,Strata,100,"15,400",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
