Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
FORTUNE CENTRE,"900,000","1,140.98",789,04 Jan 2010,190 MIDDLE ROAD #15-07,Resale,Strata,106,"8,491",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
JALAN BESAR CONSERVATION AREA,"638,000","1,485.43",430,05 Jan 2010,203A LAVENDER STREET,Resale,Strata,138,"4,623",Office,Freehold,12,33,338763,Central Region,Kallang
CONCORDE SHOPPING CENTRE,"228,780",279.86,817,07 Jan 2010,317 OUTRAM ROAD #B1-35,Resale,Strata,26,"8,799",Office,99 yrs from 16/06/1980,03,16,169075,Central Region,Bukit Merah
THE CENTRAL,"1,079,500",635.08,"1,700",08 Jan 2010,6 EU TONG SEN STREET #10-20,Resale,Strata,59,"18,297",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
GUTHRIE BUILDING,"3,332,600","4,833.04",690,08 Jan 2010,150 CHANGI ROAD #02-01 ETC,Resale,Strata,449,"7,422",Office,Freehold,14,41,419973,Central Region,Geylang
N.A.,"2,500,000","8,062.24",310,11 Jan 2010,81 JOO CHIAT ROAD #04-01 ETC,Resale,Strata,749,"3,338",Office,99 yrs from 23/06/1995,15,42,427725,Central Region,Geylang
PEOPLE'S PARK CENTRE,"310,000",452.09,686,13 Jan 2010,101 UPPER CROSS STREET #04-08,Resale,Strata,42,"7,381",Office,99 yrs from 02/06/1970,01,05,058357,Central Region,Outram
THE CENTRAL,"1,377,760",871.88,"1,580",15 Jan 2010,6 EU TONG SEN STREET #06-06,Resale,Strata,81,"17,009",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE MODULES,"850,000","1,345.5",632,18 Jan 2010,387 JOO CHIAT ROAD #04-13,Resale,Strata,125,"6,800",Office,Freehold,15,42,427623,Central Region,Marine Parade
ROBINSON POINT,"203,250,000","15,111.58","13,450",19 Jan 2010,"37,39 ETC ROBINSON ROAD",Resale,Land,"1,403.9","144,775",Office,Freehold,01,06,068911,Central Region,Downtown Core
THE MODULES,"560,000",495.14,"1,131",25 Jan 2010,387 JOO CHIAT ROAD #03-01,Resale,Strata,46,"12,174",Office,Freehold,15,42,427623,Central Region,Marine Parade
PENINSULA PLAZA,"482,048",344.45,"1,399",26 Jan 2010,111 NORTH BRIDGE ROAD #05-31,Resale,Strata,32,"15,064",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
THE CENTRAL,"1,150,000",635.08,"1,811",26 Jan 2010,6 EU TONG SEN STREET #12-17,Resale,Strata,59,"19,492",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE PLAZA,"658,512",731.95,900,26 Jan 2010,7500A BEACH ROAD #10-322,Resale,Strata,68,"9,684",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
GEYLANG CONSERVATION AREA,"700,000","1,248.62",561,26 Jan 2010,259B GEYLANG ROAD,Resale,Strata,116,"6,034",Office,Freehold,14,38,389315,Central Region,Geylang
SUNTEC TOWER TWO,"23,519,050","12,712.28","1,850",27 Jan 2010,"9 TEMASEK BOULEVARD #32-01,02,03",Resale,Strata,"1,181","19,915",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
INTERNATIONAL PLAZA,"1,217,400",936.47,"1,300",27 Jan 2010,10 ANSON ROAD #29-12,Resale,Strata,87,"13,993",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
THE PLAZA,"675,220",688.9,980,29 Jan 2010,7500A BEACH ROAD #11-308,Resale,Strata,64,"10,550",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
THE PLAZA,"689,000",688.9,"1,000",29 Jan 2010,7500A BEACH ROAD #08-317,Resale,Strata,64,"10,766",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
FOOK HAI BUILDING,"538,000",667.37,806,01 Feb 2010,150 SOUTH BRIDGE ROAD #05-05,Resale,Strata,62,"8,677",Office,99 yrs from 18/01/1972,01,05,058727,Central Region,Outram
THE CENTRAL,"1,248,240",742.72,"1,681",02 Feb 2010,6 EU TONG SEN STREET #12-01,Resale,Strata,69,"18,090",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"976,080",581.26,"1,679",02 Feb 2010,6 EU TONG SEN STREET #12-02,Resale,Strata,54,"18,076",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"980,000",613.55,"1,597",03 Feb 2010,6 EU TONG SEN STREET #06-04,Resale,Strata,57,"17,193",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"1,007,010",602.78,"1,671",03 Feb 2010,6 EU TONG SEN STREET #11-03,Resale,Strata,56,"17,982",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
EASTGATE,"1,039,600","1,130.22",920,05 Feb 2010,46 EAST COAST ROAD #05-01,Resale,Strata,105,"9,901",Office,Freehold,15,42,428766,Central Region,Marine Parade
SPRINGLEAF TOWER,"14,380,000","10,742.47","1,339",05 Feb 2010,3 ANSON ROAD #23-01,Resale,Strata,998,"14,409",Office,99 yrs from 01/10/1996,02,07,079909,Central Region,Downtown Core
HIGH STREET PLAZA,"797,550",613.55,"1,300",05 Feb 2010,77 HIGH STREET #07-02,Resale,Strata,57,"13,992",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
SIM LIM TOWER,"1,350,000","1,603.84",842,05 Feb 2010,10 JALAN BESAR #17-02,Resale,Strata,149,"9,060",Office,Freehold,08,20,208787,Central Region,Rochor
THE CENTRAL,"1,006,960",613.55,"1,641",08 Feb 2010,6 EU TONG SEN STREET #10-04,Resale,Strata,57,"17,666",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
SIMS AVENUE CENTRE,"400,000",818.06,489,10 Feb 2010,540 SIMS AVENUE #02-02,Resale,Strata,76,"5,263",Office,Freehold,14,38,387603,Central Region,Geylang
THE PLAZA,"389,000",430.56,903,10 Feb 2010,7500A BEACH ROAD #11-305,Resale,Strata,40,"9,725",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
THE PLAZA,"389,000",398.27,977,10 Feb 2010,7500A BEACH ROAD #11-304,Resale,Strata,37,"10,514",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
EASTGATE,"3,149,160","3,422.95",920,10 Feb 2010,46 EAST COAST ROAD #02-01,Resale,Strata,318,"9,903",Office,Freehold,15,42,428766,Central Region,Marine Parade
EASTGATE,"1,079,808","1,184.04",912,10 Feb 2010,46 EAST COAST ROAD #04-02,Resale,Strata,110,"9,816",Office,Freehold,15,42,428766,Central Region,Marine Parade
SIM LIM SQUARE,"810,000",548.96,"1,476",10 Feb 2010,1 ROCHOR CANAL ROAD #05-04,Resale,Strata,51,"15,882",Office,99 yrs from 08/04/1983,07,18,188504,Central Region,Rochor
EASTGATE,"1,139,088","1,248.62",912,11 Feb 2010,46 EAST COAST ROAD #04-03,Resale,Strata,116,"9,820",Office,Freehold,15,42,428766,Central Region,Marine Parade
EASTGATE,"1,033,950","1,130.22",915,12 Feb 2010,46 EAST COAST ROAD #06-01,Resale,Strata,105,"9,847",Office,Freehold,15,42,428766,Central Region,Marine Parade
THE CENTRAL,"1,200,000",645.84,"1,858",12 Feb 2010,8 EU TONG SEN STREET #17-83,Resale,Strata,60,"20,000",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
BOON SING BUILDING,"1,150,000","1,119.46","1,027",17 Feb 2010,43 MIDDLE ROAD #05-00,Resale,Strata,104,"11,058",Office,999 yrs from 30/01/1835,07,18,188952,Central Region,Downtown Core
FORTUNE CENTRE,"1,260,000","1,679.18",750,18 Feb 2010,190 MIDDLE ROAD #10-06,Resale,Strata,156,"8,077",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
N.A.,"2,615,000","1,442.38","1,813",18 Feb 2010,246 GEYLANG ROAD,Resale,Land,134,"19,515",Office,Freehold,14,38,389305,Central Region,Geylang
THE CENTRAL,"1,100,000",635.08,"1,732",19 Feb 2010,6 EU TONG SEN STREET #07-20,Resale,Strata,59,"18,644",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"3,938,550","2,540.3","1,550",19 Feb 2010,"6 EU TONG SEN STREET #06-01,02,03,05",Resale,Strata,236,"16,689",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"2,200,000","1,216.33","1,809",19 Feb 2010,8 EU TONG SEN STREET #23-81,Resale,Strata,113,"19,469",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
SUNTEC TOWER THREE,"6,383,040","2,927.81","2,180",19 Feb 2010,8 TEMASEK BOULEVARD #37-01,Resale,Strata,272,"23,467",Office,99 yrs from 01/03/1989,01,03,038988,Central Region,Downtown Core
THE CENTRAL,"5,307,200","3,422.95","1,550",19 Feb 2010,"6 EU TONG SEN STREET #05-01,02,04,05,06",Resale,Strata,318,"16,689",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE CENTRAL,"6,644,850","4,284.07","1,551",19 Feb 2010,6 EU TONG SEN STREET #12-04 ETC,Resale,Strata,398,"16,696",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
PEACE CENTRE,"450,000",559.73,804,22 Feb 2010,1 SOPHIA ROAD #04-14,Resale,Strata,52,"8,654",Office,99 yrs from 02/06/1970,09,22,228149,Central Region,Rochor
FAR EAST SHOPPING CENTRE,"650,000",355.21,"1,830",22 Feb 2010,545 ORCHARD ROAD #13-05,Resale,Strata,33,"19,697",Office,999 yrs from 30/10/1871,09,23,238882,Central Region,Orchard
GOLDHILL PLAZA,"1,150,000","1,356.26",848,23 Feb 2010,1 GOLDHILL PLAZA #03-29,Resale,Strata,126,"9,127",Office,999 yrs from 07/12/1972,11,30,308899,Central Region,Novena
EASTGATE,"1,081,590","1,162.51",930,24 Feb 2010,46 EAST COAST ROAD #05-06,Resale,Strata,108,"10,015",Office,Freehold,15,42,428766,Central Region,Marine Parade
CHINATOWN PLAZA,"505,000",484.38,"1,043",25 Feb 2010,34 CRAIG ROAD #02-05,Resale,Strata,45,"11,222",Office,Freehold,02,08,089673,Central Region,Outram
EASTGATE,"781,200",839.59,930,26 Feb 2010,46 EAST COAST ROAD #06-04,Resale,Strata,78,"10,015",Office,Freehold,15,42,428766,Central Region,Marine Parade
EASTGATE,"1,067,634","1,162.51",918,26 Feb 2010,46 EAST COAST ROAD #06-06,Resale,Strata,108,"9,886",Office,Freehold,15,42,428766,Central Region,Marine Parade
EASTGATE,"1,101,120","1,184.04",930,26 Feb 2010,46 EAST COAST ROAD #05-02,Resale,Strata,110,"10,010",Office,Freehold,15,42,428766,Central Region,Marine Parade
SHENTON HOUSE,"2,200,000","1,722.24","1,277",26 Feb 2010,3 SHENTON WAY #10-01,Resale,Strata,160,"13,750",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
FORTUNE CENTRE,"1,700,000","2,238.91",759,01 Mar 2010,190 MIDDLE ROAD #11-06,Resale,Strata,208,"8,173",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
INTERNATIONAL PLAZA,"650,000",473.62,"1,372",03 Mar 2010,10 ANSON ROAD #18-18,Resale,Strata,44,"14,773",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
GOLDEN MILE COMPLEX,"790,000",925.7,853,05 Mar 2010,5001 BEACH ROAD #09-85,Resale,Strata,86,"9,186",Office,99 yrs from 04/08/1969,07,19,199588,Central Region,Kallang
EASTGATE,"798,000",839.59,950,05 Mar 2010,46 EAST COAST ROAD #07-04,Resale,Strata,78,"10,231",Office,Freehold,15,42,428766,Central Region,Marine Parade
THE PLAZA,"288,000",322.92,892,08 Mar 2010,7500A BEACH ROAD #04-334,Resale,Strata,30,"9,600",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
THE BENCOOLEN,"800,000",656.6,"1,218",09 Mar 2010,180 BENCOOLEN STREET #02-10,Resale,Strata,61,"13,115",Office,99 yrs from 24/06/1995,07,18,189646,Central Region,Rochor
EASTGATE,"1,135,250","1,194.8",950,10 Mar 2010,46 EAST COAST ROAD #07-05,Resale,Strata,111,"10,227",Office,Freehold,15,42,428766,Central Region,Marine Parade
N.A.,"1,000,000",548.96,"1,822",10 Mar 2010,36 ARMENIAN STREET #04-11,New Sale,Strata,51,"19,608",Office,99 yrs from 21/09/2007,06,17,179934,Central Region,Museum
UNITED HOUSE,"1,090,000",548.96,"1,986",11 Mar 2010,20 KRAMAT LANE #04-06,Resale,Strata,51,"21,373",Office,Freehold,09,22,228773,Central Region,Orchard
SHENTON HOUSE,"1,288,200",904.18,"1,425",15 Mar 2010,3 SHENTON WAY #15-10,Resale,Strata,84,"15,336",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
KATONG PLAZA,"230,000",182.99,"1,257",15 Mar 2010,1 BROOKE ROAD #03-08,Resale,Strata,17,"13,529",Office,9999 yrs from 01/01/1980,15,42,429979,Central Region,Marine Parade
KATONG PLAZA,"308,000",279.86,"1,101",15 Mar 2010,1 BROOKE ROAD #B1-31,Resale,Strata,26,"11,846",Office,9999 yrs from 01/01/1980,15,42,429979,Central Region,Marine Parade
SUNTEC TOWER ONE,"6,296,400","3,498.3","1,800",16 Mar 2010,7 TEMASEK BOULEVARD #18-02,Resale,Strata,325,"19,374",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
THE CENTRAL,"1,689,950",925.7,"1,826",17 Mar 2010,8 EU TONG SEN STREET #13-84,Resale,Strata,86,"19,651",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
SIM LIM TOWER,"650,000",505.91,"1,285",17 Mar 2010,10 JALAN BESAR #06-09,Resale,Strata,47,"13,830",Office,Freehold,08,20,208787,Central Region,Rochor
FORTUNE CENTRE,"548,000",570.49,961,17 Mar 2010,190 MIDDLE ROAD #12-08,Resale,Strata,53,"10,340",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
REGENCY SUITES,"1,230,000","1,001.05","1,229",17 Mar 2010,38 KIM TIAN ROAD #06-09,Resale,Strata,93,"13,226",Office,Freehold,03,16,169262,Central Region,Bukit Merah
EASTGATE,"789,600",839.59,940,18 Mar 2010,46 EAST COAST ROAD #04-04,Resale,Strata,78,"10,123",Office,Freehold,15,42,428766,Central Region,Marine Parade
THE PLAZA,"276,000",290.63,950,19 Mar 2010,7500A BEACH ROAD #04-333,Resale,Strata,27,"10,222",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
GSM BUILDING,"1,024,800","1,280.92",800,22 Mar 2010,141 MIDDLE ROAD #03-04,Resale,Strata,119,"8,612",Office,99 yrs from 02/05/1978,07,18,188976,Central Region,Rochor
HIGH STREET CENTRE,"1,450,000","1,001.05","1,448",22 Mar 2010,1 NORTH BRIDGE ROAD #19-06,Resale,Strata,93,"15,591",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
POLY CREDIT BUILDING,"2,800,000","1,111.92","2,518",22 Mar 2010,288 JALAN BESAR,Resale,Land,103.3,"27,106",Office,999 yrs from 08/04/1919,08,20,208951,Central Region,Rochor
GOLDEN WALL CENTRE,"1,055,700","1,173.28",900,24 Mar 2010,89 SHORT STREET #09-01,Resale,Strata,109,"9,685",Office,Freehold,07,18,188216,Central Region,Rochor
HIGH STREET PLAZA,"520,000",312.16,"1,666",29 Mar 2010,77 HIGH STREET #10-09,Resale,Strata,29,"17,931",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
TEAMBUILD CENTRE,"560,000","1,184.04",473,29 Mar 2010,701 GEYLANG ROAD #04-02,Resale,Strata,110,"5,091",Office,99 yrs from 19/02/2001,14,38,389687,Central Region,Geylang
REGENCY SUITES,"1,100,000","1,011.82","1,087",29 Mar 2010,38 KIM TIAN ROAD #04-09,Resale,Strata,94,"11,702",Office,Freehold,03,16,169262,Central Region,Bukit Merah
THE PLAZA,"610,000",602.78,"1,012",30 Mar 2010,7500A BEACH ROAD #04-332,Resale,Strata,56,"10,893",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
PARKWAY PARADE,"1,942,500","1,851.41","1,049",31 Mar 2010,"80 MARINE PARADE ROAD #12-04,05",Resale,Strata,172,"11,294",Office,99 yrs from 17/08/1979,15,44,449269,Central Region,Marine Parade
EASTGATE,"6,389,145","6,759.79",945,31 Mar 2010,46 EAST COAST ROAD #10-01-06,Resale,Strata,628,"10,174",Office,Freehold,15,42,428766,Central Region,Marine Parade
INTERNATIONAL PLAZA,"1,250,000",936.47,"1,335",31 Mar 2010,"10 ANSON ROAD #11-09,10",Resale,Strata,87,"14,368",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
GRANDLINK SQUARE,"250,000",312.16,801,01 Apr 2010,511 GUILLEMARD ROAD #02-34,Resale,Strata,29,"8,621",Office,Freehold,14,39,399849,Central Region,Geylang
FAR EAST SHOPPING CENTRE,"773,900",355.21,"2,179",06 Apr 2010,545 ORCHARD ROAD #08-08,Resale,Strata,33,"23,452",Office,999 yrs from 30/10/1871,09,23,238882,Central Region,Orchard
GUTHRIE BUILDING,"1,143,282","2,281.97",501,06 Apr 2010,150 CHANGI ROAD #04-05,Resale,Strata,212,"5,393",Office,Freehold,14,41,419973,Central Region,Geylang
HIGH STREET CENTRE,"951,060",785.77,"1,210",07 Apr 2010,1 NORTH BRIDGE ROAD #09-01,Resale,Strata,73,"13,028",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
LUCKY PLAZA,"1,900,000",355.21,"5,349",07 Apr 2010,304 ORCHARD ROAD #04-82,Resale,Strata,33,"57,576",Office,Freehold,09,23,238863,Central Region,Orchard
THE CENTRAL,"3,208,224","1,453.14","2,208",08 Apr 2010,8 EU TONG SEN STREET #20-89,Resale,Strata,135,"23,765",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
INTERNATIONAL PLAZA,"2,875,893","2,357.32","1,220",08 Apr 2010,10 ANSON ROAD #09-26,Resale,Strata,219,"13,132",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
THE CENTRAL,"2,932,875","1,485.43","1,974",08 Apr 2010,"6 EU TONG SEN STREET #11-05,06",Resale,Strata,138,"21,253",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
SHENTON HOUSE,"840,000",559.73,"1,501",08 Apr 2010,3 SHENTON WAY #10-03,Resale,Strata,52,"16,154",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
THE CENTRAL,"2,662,848","1,205.57","2,209",08 Apr 2010,8 EU TONG SEN STREET #20-90,Resale,Strata,112,"23,775",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE MODULES,"780,000",839.59,929,08 Apr 2010,387 JOO CHIAT ROAD #04-10,Resale,Strata,78,"10,000",Office,Freehold,15,42,427623,Central Region,Marine Parade
THE MODULES,"528,000",527.44,"1,001",09 Apr 2010,387 JOO CHIAT ROAD #01-11,Resale,Strata,49,"10,776",Office,Freehold,15,42,427623,Central Region,Marine Parade
THE ARIZON,"720,000","1,270.15",567,09 Apr 2010,538 GEYLANG ROAD #02-01,Sub Sale,Strata,118,"6,102",Office,Freehold,14,38,389493,Central Region,Geylang
SHENTON HOUSE,"1,250,000","1,054.87","1,185",12 Apr 2010,3 SHENTON WAY #21-10,Resale,Strata,98,"12,755",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
THE CENTRAL,"1,220,000",635.08,"1,921",12 Apr 2010,6 EU TONG SEN STREET #07-19,Resale,Strata,59,"20,678",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
CONCORDE SHOPPING CENTRE,"408,000",419.8,972,13 Apr 2010,317 OUTRAM ROAD #02-57,Resale,Strata,39,"10,462",Office,99 yrs from 16/06/1980,03,16,169075,Central Region,Bukit Merah
THE CENTRAL,"1,259,700",645.84,"1,950",13 Apr 2010,8 EU TONG SEN STREET #15-87,Resale,Strata,60,"20,995",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
EASTGATE,"1,093,220","1,162.51",940,13 Apr 2010,46 EAST COAST ROAD #07-06,Resale,Strata,108,"10,122",Office,Freehold,15,42,428766,Central Region,Marine Parade
HIGH STREET CENTRE,"603,860",548.96,"1,100",13 Apr 2010,1 NORTH BRIDGE ROAD #18-02,Resale,Strata,51,"11,840",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
THE CENTRAL,"1,766,000",882.65,"2,001",13 Apr 2010,8 EU TONG SEN STREET #14-91,Resale,Strata,82,"21,537",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"1,190,000",635.08,"1,874",14 Apr 2010,6 EU TONG SEN STREET #11-17,Resale,Strata,59,"20,169",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE MODULES,"460,000",430.56,"1,068",16 Apr 2010,387 JOO CHIAT ROAD #02-03,Resale,Strata,40,"11,500",Office,Freehold,15,42,427623,Central Region,Marine Parade
GOLDEN MILE TOWER,"308,000",236.81,"1,301",16 Apr 2010,6001 BEACH ROAD #01-20,Resale,Strata,22,"14,000",Office,99 yrs from 09/06/1969,07,19,199589,Central Region,Kallang
GOLDEN MILE COMPLEX,"177,000",204.52,865,19 Apr 2010,5001 BEACH ROAD #07-37,Resale,Strata,19,"9,316",Office,99 yrs from 04/08/1969,07,19,199588,Central Region,Kallang
INTERNATIONAL PLAZA,"2,005,140","1,453.14","1,380",19 Apr 2010,10 ANSON ROAD #20-15,Resale,Strata,135,"14,853",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
MANHATTAN HOUSE,"375,000",462.85,810,19 Apr 2010,151 CHIN SWEE ROAD #10-09,Resale,Strata,43,"8,721",Office,99 yrs from 15/10/1969,03,16,169876,Central Region,Outram
ORCHARD TOWERS,"850,000",624.31,"1,361",21 Apr 2010,"400 ORCHARD ROAD #05-01,21",Resale,Strata,58,"14,655",Office,Freehold,09,23,238875,Central Region,Orchard
GUTHRIE BUILDING,"2,997,120","6,243.12",480,21 Apr 2010,"150 CHANGI ROAD #04-02,03,04",Resale,Strata,580,"5,167",Office,Freehold,14,41,419973,Central Region,Geylang
THE CENTRAL,"1,613,200",871.88,"1,850",22 Apr 2010,8 EU TONG SEN STREET #16-99,Resale,Strata,81,"19,916",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
EASTGATE,"1,104,850","1,162.51",950,26 Apr 2010,46 EAST COAST ROAD #04-06,Resale,Strata,108,"10,230",Office,Freehold,15,42,428766,Central Region,Marine Parade
EASTGATE,"1,135,250","1,194.8",950,26 Apr 2010,46 EAST COAST ROAD #04-05,Resale,Strata,111,"10,227",Office,Freehold,15,42,428766,Central Region,Marine Parade
SUNTEC TOWER TWO,"27,500,000","12,712.28","2,163",28 Apr 2010,"9 TEMASEK BOULEVARD #32-01,02,03",Resale,Strata,"1,181","23,285",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
TONG ENG BUILDING,"1,349,700","1,227.1","1,100",28 Apr 2010,101 CECIL STREET #09-01,Resale,Strata,114,"11,839",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
TONG ENG BUILDING,"2,032,240","1,270.15","1,600",29 Apr 2010,"101 CECIL STREET #22-04,05",Resale,Strata,118,"17,222",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
PENINSULA PLAZA,"2,000,000","1,485.43","1,346",29 Apr 2010,111 NORTH BRIDGE ROAD #11-01,Resale,Strata,138,"14,493",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
SIMS AVENUE CENTRE,"460,000",968.76,475,29 Apr 2010,540 SIMS AVENUE #02-01,Resale,Strata,90,"5,111",Office,Freehold,14,38,387603,Central Region,Geylang
PARKWAY PARADE,"1,150,000",925.7,"1,242",29 Apr 2010,80 MARINE PARADE ROAD #10-06,Resale,Strata,86,"13,372",Office,99 yrs from 17/08/1979,15,44,449269,Central Region,Marine Parade
THE CENTRAL,"1,360,000",635.08,"2,141",30 Apr 2010,6 EU TONG SEN STREET #12-08,Resale,Strata,59,"23,051",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
THE MODULES,"559,350",495.14,"1,130",30 Apr 2010,387 JOO CHIAT ROAD #02-01,Resale,Strata,46,"12,160",Office,Freehold,15,42,427623,Central Region,Marine Parade
SOUTHPOINT,"23,000,000","16,038.36","1,434",30 Apr 2010,200 CANTONMENT ROAD #12-00,Resale,Strata,"1,490","15,436",Office,Freehold,02,08,089763,Central Region,Bukit Merah
HIGH STREET PLAZA,"640,458",376.74,"1,700",30 Apr 2010,77 HIGH STREET #09-07,Resale,Strata,35,"18,299",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
PENINSULA PLAZA,"663,000",441.32,"1,502",30 Apr 2010,111 NORTH BRIDGE ROAD #08-16,Resale,Strata,41,"16,171",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
SUNTEC TOWER ONE,"7,079,400","3,078.5","2,300",30 Apr 2010,7 TEMASEK BOULEVARD #39-03,Resale,Strata,286,"24,753",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
FUYUEN COURT,"370,000",742.72,498,30 Apr 2010,520 SIMS AVENUE #02-06,Resale,Strata,69,"5,362",Office,Freehold,14,38,387580,Central Region,Geylang
THE CENTRAL,"3,220,000","1,668.42","1,930",30 Apr 2010,8 EU TONG SEN STREET #16-98,Resale,Strata,155,"20,774",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
MAS BUILDING,"9,414,530","7,158.06","1,315",03 May 2010,10 SHENTON WAY #12-06 ETC,Resale,Strata,665,"14,157",Office,99 yrs from 05/04/1982,02,07,079117,Central Region,Downtown Core
EASTGATE,"1,084,800","1,130.22",960,03 May 2010,46 EAST COAST ROAD #04-01,Resale,Strata,105,"10,331",Office,Freehold,15,42,428766,Central Region,Marine Parade
MAS BUILDING,"15,000,000","10,634.83","1,410",03 May 2010,10 SHENTON WAY #15-03 ETC,Resale,Strata,988,"15,182",Office,99 yrs from 05/04/1982,02,07,079117,Central Region,Downtown Core
THE CENTRAL,"1,085,400",602.78,"1,801",04 May 2010,6 EU TONG SEN STREET #10-03,Resale,Strata,56,"19,382",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
EASTGATE,"2,026,330","2,088.22",970,05 May 2010,"46 EAST COAST ROAD #09-03,04",Resale,Strata,194,"10,445",Office,Freehold,15,42,428766,Central Region,Marine Parade
EASTGATE,"1,084,800","1,130.22",960,05 May 2010,46 EAST COAST ROAD #08-01,Resale,Strata,105,"10,331",Office,Freehold,15,42,428766,Central Region,Marine Parade
PEOPLE'S PARK CENTRE,"530,000",731.95,724,05 May 2010,101A UPPER CROSS STREET #08-11,Resale,Strata,68,"7,794",Office,99 yrs from 02/06/1970,01,05,058358,Central Region,Outram
THE CENTRAL,"1,288,000",635.08,"2,028",06 May 2010,12 EU TONG SEN STREET #08-168,Resale,Strata,59,"21,831",Office,99 yrs from 02/01/2001,01,05,059819,Central Region,Singapore River
THE BENCOOLEN,"562,740",678.13,830,06 May 2010,180B BENCOOLEN STREET #08-02,Resale,Strata,63,"8,932",Office,99 yrs from 24/06/1995,07,18,189648,Central Region,Rochor
