year,occupation,employed
2022,associate professionals & technicians,487000
2022,clerical support workers,211800
2022,service & sales workers,239800
2022,craftsmen & related trades workers,53300
2022,plant & machine operators & assemblers,135700
2022,"cleaners, labourers & related workers",158400
2022,others,55800
2023,managers & administrators (including working proprietors),369900
2023,professionals,620600
2023,associate professionals & technicians,484100
2023,clerical support workers,207800
2023,service & sales workers,256300
2023,craftsmen & related trades workers,58800
2023,plant & machine operators & assemblers,132000
2023,"cleaners, labourers & related workers",162100
2023,others,60700
2024,managers & administrators (including working proprietors),404900
2024,professionals,619900
2024,associate professionals & technicians,484800
2024,clerical support workers,209600
2024,service & sales workers,240100
2024,craftsmen & related trades workers,54800
2024,plant & machine operators & assemblers,128400
2024,"cleaners, labourers & related workers",165700
2024,others,57400
2025,managers & administrators (including working proprietors),405700
2025,professionals,624400
2025,associate professionals & technicians,495500
2025,clerical support workers,201000
2025,service & sales workers,247000
2025,craftsmen & related trades workers,51600
2025,plant & machine operators & assemblers,128900
2025,"cleaners, labourers & related workers",167700
2025,others,54600
