Project Name,block_address,query_used,lat,lon,matched_address
SUNTEC TOWER ONE,7 TEMASEK BOULEVARD,7 TEMASEK BOULEVARD,1.29542540402342,103.858378559681,7 TEMASEK BOULEVARD EMBASSY OF THE KINGDOM OF SPAIN SINGAPORE 038987
REGENCY SUITES,38 KIM TIAN ROAD,38 KIM TIAN ROAD,1.28434128785856,103.82912604887,38 KIM TIAN ROAD REGENCY SUITES SINGAPORE 169262
GSM BUILDING,141 MIDDLE ROAD,141 MIDDLE ROAD,1.29943775475739,103.85240273741,141 MIDDLE ROAD COLIWOO MIDTOWN SINGAPORE 188976
HIGH STREET CENTRE,1 NORTH BRIDGE ROAD,1 NORTH BRIDGE ROAD,1.28999676915058,103.849282222609,1 NORTH BRIDGE ROAD CONSULATE OF THE DEMOCRATIC REPUBLIC OF CONGO SINGAPORE 179094
POLY CREDIT BUILDING,288 JALAN BESAR,288 JALAN BESAR,1.31056078083496,103.858895468729,288 JALAN BESAR KM7 SINGAPORE 208951
GOLDEN WALL CENTRE,89 SHORT STREET,89 SHORT STREET,1.30394178690249,103.851485335347,89 SHORT STREET HOTEL MI ROCHOR SINGAPORE 188216
TEAMBUILD CENTRE,701 GEYLANG ROAD,701 GEYLANG ROAD,1.31478597560553,103.889462295301,701 GEYLANG ROAD TEAMBUILD CENTRE SINGAPORE 389687
PARKWAY PARADE,80 MARINE PARADE ROAD,80 MARINE PARADE ROAD,1.301041960873,103.905505005847,80 MARINE PARADE ROAD MARINE PARADE POST OFFICE SINGAPORE 449269
GRANDLINK SQUARE,511 GUILLEMARD ROAD,511 GUILLEMARD ROAD,1.3141912983094,103.891500511011,511 GUILLEMARD ROAD GRANDLINK SQUARE SINGAPORE 399849
LUCKY PLAZA,304 ORCHARD ROAD,304 ORCHARD ROAD,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863
THE ARIZON,538 GEYLANG ROAD,538 GEYLANG ROAD,1.31371862266175,103.886588867863,538 GEYLANG ROAD THE ARIZON SINGAPORE 389493
GOLDEN MILE TOWER,6001 BEACH ROAD,6001 BEACH ROAD,1.30201130676831,103.864322517944,6001 BEACH ROAD CARNIVAL CINEMAS GOLDEN MILE SINGAPORE 199589
MANHATTAN HOUSE,151 CHIN SWEE ROAD,151 CHIN SWEE ROAD,1.28703443823013,103.840813247609,151 CHIN SWEE ROAD MANHATTAN HOUSE SINGAPORE 169876
ORCHARD TOWERS,400 ORCHARD ROAD,400 ORCHARD ROAD,1.30694456840806,103.829339596247,400 ORCHARD ROAD BETHANY CHURCH SINGAPORE SINGAPORE 238875
TONG ENG BUILDING,101 CECIL STREET,101 CECIL STREET,1.28096623481924,103.849392501855,101 CECIL STREET AGAPE LITTLE UNI. @ CECIL PTE. LTD. SINGAPORE 069533
SOUTHPOINT,200 CANTONMENT ROAD,200 CANTONMENT ROAD,1.27342504453311,103.841261971386,200 CANTONMENT ROAD CONSULATE OF THE SLOVAK REPUBLIC SINGAPORE 089763
FUYUEN COURT,520 SIMS AVENUE,520 SIMS AVENUE,1.31610089372943,103.888998018255,520 SIMS AVENUE FUYUEN COURT SINGAPORE 387580
MAS BUILDING,10 SHENTON WAY,10 SHENTON WAY,1.27476842632545,103.846679853865,10 SHENTON WAY MAS BUILDING SINGAPORE 079117
PEOPLE'S PARK CENTRE,101A UPPER CROSS STREET,101A UPPER CROSS STREET,1.28570964898095,103.843827426156,101A UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058358
THE CENTRAL,12 EU TONG SEN STREET,12 EU TONG SEN STREET,1.28883856193458,103.846558025016,12 EU TONG SEN STREET THE CENTRAL SINGAPORE 059819
THE BENCOOLEN,180B BENCOOLEN STREET,180B BENCOOLEN STREET,1.30163231806657,103.853342606199,180B BENCOOLEN STREET THE BENCOOLEN SINGAPORE 189648
THE STRADIA,78 YIO CHU KANG ROAD,78 YIO CHU KANG ROAD,1.35806026279456,103.875116232416,78 YIO CHU KANG ROAD PICKET FENCE @ SERANGOON PTE. LTD. SINGAPORE 545571
HOA NAM BUILDING,27 FOCH ROAD,27 FOCH ROAD,1.31270184017357,103.859968759019,27 FOCH ROAD HOA NAM BUILDING SINGAPORE 209264
TEXTILE CENTRE,200 JALAN SULTAN,200 JALAN SULTAN,1.30397881313463,103.861554245252,200 JALAN SULTAN HOPE CHURCH SINGAPORE SINGAPORE 199018
MALACCA CENTRE,20 MALACCA STREET,20 MALACCA STREET,1.28393979832145,103.850711236652,20 MALACCA STREET MALACCA CENTRE SINGAPORE 048979
THE OCTAGON,105 CECIL STREET,105 CECIL STREET,1.28054975235403,103.849195746277,105 CECIL STREET GENIUS HIVE PRE-SCHOOL PTE. LTD. SINGAPORE 069534
REALTY CENTRE,15 ENGGOR STREET,15 ENGGOR STREET,,,
THE RIVERWALK,20 UPPER CIRCULAR ROAD,20 UPPER CIRCULAR ROAD,1.28897209658289,103.848459830887,20 UPPER CIRCULAR ROAD THE RIVERWALK SINGAPORE 058416
ORCHARD PLAZA,150 ORCHARD ROAD,150 ORCHARD ROAD,1.30125729409965,103.841150144584,150 ORCHARD ROAD ORCHARD PLAZA SINGAPORE 238841
ONE SHENTON,1 SHENTON WAY,1 SHENTON WAY,1.27929478959373,103.850552555075,1 SHENTON WAY ONE SHENTON SINGAPORE 068803
LE SHANTIER,519 BALESTIER ROAD,519 BALESTIER ROAD,1.32608927617256,103.846533689765,519 BALESTIER ROAD LE SHANTIER SINGAPORE 329852
PEOPLE'S PARK COMPLEX,1 PARK ROAD,1 PARK ROAD,1.28413397178419,103.842519972666,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108
AIG BUILDING,22 MARTIN ROAD,22 MARTIN ROAD,1.29188466066369,103.838507741772,22 MARTIN ROAD SINGAPORE 239058
TUNG ANN ASSOCIATION BUILDING,141 CECIL STREET,141 CECIL STREET,1.27925617613756,103.848411737205,141 CECIL STREET DA LITTLE PRESCHOOL AT CECIL PRIVATE LIMITED SINGAPORE 069541
ICON@CHANGI,228 CHANGI ROAD,228 CHANGI ROAD,1.31724236939499,103.904690327616,228 CHANGI ROAD ICON @ CHANGI SINGAPORE 419741
BEAUTY WORLD CENTRE,144 UPPER BUKIT TIMAH ROAD,144 UPPER BUKIT TIMAH ROAD,1.34241264188642,103.776539385406,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177
