quarter,industry1,industry2,industry3,employment_change,,,,,,
2002-Q4,manufacturing,electronic products,electronic products,-1.4,,,,,,
2002-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-0.1,,,,,,
2002-Q4,manufacturing,transport equipment,transport equipment,-0.9,,,,,,
2002-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.1,,,,,,
2002-Q4,construction,construction,construction,-8.3,,,,,,
2002-Q4,services,wholesale and retail trade,wholesale trade,0.6,,,,,,
2002-Q4,services,wholesale and retail trade,retail trade,2.2,,,,,,
2002-Q4,services,transport and storage,land transport and supporting services,0.1,,,,,,
2002-Q4,services,transport and storage,water transport and supporting services,-,,,,,,
2002-Q4,services,transport and storage,air transport and supporting services,0.1,,,,,,
2002-Q4,services,transport and storage,other transport and storage services,0.2,,,,,,
2002-Q4,services,hotels and restaurants,hotels,1.9,,,,,,
2002-Q4,services,hotels and restaurants,restaurants,3.6,,,,,,
2002-Q4,services,information and communications,broadcasting and publishing,-0.3,,,,,,
2002-Q4,services,information and communications,telecommunications,1.5,,,,,,
2002-Q4,services,information and communications,it and other information services,-0.5,,,,,,
2002-Q4,services,financial services,financial institutions,-0.2,,,,,,
2002-Q4,services,financial services,insurance,0.1,,,,,,
2002-Q4,services,real estate and leasing services,real estate and leasing services,1.1,,,,,,
2002-Q4,services,professional services,"legal, accounting and management services",0.2,,,,,,
2002-Q4,services,professional services,architectural and engineering services,-1.6,,,,,,
2002-Q4,services,professional services,other professional services,-0.2,,,,,,
2002-Q4,services,"community, social and personal services",education,-0.7,,,,,,
2002-Q4,services,"community, social and personal services",public administration,3,,,,,,
2002-Q4,services,"community, social and personal services",health and social services,0.5,,,,,,
2002-Q4,services,"community, social and personal services","other community, social and personal services",-1,,,,,,
2002-Q4,others,others,others,0.1,,,,,,
2003-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2,,,,,,
2003-Q1,manufacturing,textile and wearing apparel,paper products and printing,-0.3,,,,,,
2003-Q1,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",1.1,,,,,,
2003-Q1,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.4,,,,,,
2003-Q1,manufacturing,fabricated metal products,fabricated metal products,-,,,,,,
2003-Q1,manufacturing,machinery and equipment,machinery and equipment,0.1,,,,,,
2003-Q1,manufacturing,electrical products,electrical products,-0.2,,,,,,
2003-Q1,manufacturing,electronic products,electronic products,-2.1,,,,,,
2003-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.1,,,,,,
2003-Q1,manufacturing,transport equipment,transport equipment,-1.9,,,,,,
2003-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-,,,,,,
2003-Q1,construction,construction,construction,-6.5,,,,,,
2003-Q1,services,wholesale and retail trade,wholesale trade,-0.3,,,,,,
2003-Q1,services,wholesale and retail trade,retail trade,-0.3,,,,,,
2003-Q1,services,transport and storage,land transport and supporting services,-0.8,,,,,,
2003-Q1,services,transport and storage,water transport and supporting services,0.4,,,,,,
2003-Q1,services,transport and storage,air transport and supporting services,0.5,,,,,,
2003-Q1,services,transport and storage,other transport and storage services,0.7,,,,,,
2003-Q1,services,hotels and restaurants,hotels,-1.6,,,,,,
2003-Q1,services,hotels and restaurants,restaurants,0.2,,,,,,
2003-Q1,services,information and communications,broadcasting and publishing,-0.1,,,,,,
2003-Q1,services,information and communications,telecommunications,-0.3,,,,,,
2003-Q1,services,information and communications,it and other information services,-0.4,,,,,,
2003-Q1,services,financial services,financial institutions,0.8,,,,,,
2003-Q1,services,financial services,insurance,0.1,,,,,,
2003-Q1,services,real estate and leasing services,real estate and leasing services,0.2,,,,,,
2003-Q1,services,professional services,"legal, accounting and management services",-,,,,,,
2003-Q1,services,professional services,architectural and engineering services,-0.2,,,,,,
2003-Q1,services,professional services,other professional services,-0.2,,,,,,
2003-Q1,services,"community, social and personal services",education,2.7,,,,,,
2003-Q1,services,"community, social and personal services",public administration,-0.8,,,,,,
2003-Q1,services,"community, social and personal services",health and social services,0.6,,,,,,
2003-Q1,services,"community, social and personal services","other community, social and personal services",3,,,,,,
2003-Q1,others,others,others,-0.2,,,,,,
2003-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2,,,,,,
2003-Q2,manufacturing,textile and wearing apparel,paper products and printing,-0.9,,,,,,
2003-Q2,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.8,,,,,,
2003-Q2,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.1,,,,,,
2003-Q2,manufacturing,fabricated metal products,fabricated metal products,-0.3,,,,,,
2003-Q2,manufacturing,machinery and equipment,machinery and equipment,-0.1,,,,,,
2003-Q2,manufacturing,electrical products,electrical products,-0.1,,,,,,
2003-Q2,manufacturing,electronic products,electronic products,-1.9,,,,,,
2003-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-,,,,,,
2003-Q2,manufacturing,transport equipment,transport equipment,-3.3,,,,,,
2003-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-0.7,,,,,,
2003-Q2,construction,construction,construction,-7.1,,,,,,
2003-Q2,services,wholesale and retail trade,wholesale trade,-2,,,,,,
2003-Q2,services,wholesale and retail trade,retail trade,-1.9,,,,,,
2003-Q2,services,transport and storage,land transport and supporting services,-0.5,,,,,,
2003-Q2,services,transport and storage,water transport and supporting services,-0.3,,,,,,
2003-Q2,services,transport and storage,air transport and supporting services,-0.9,,,,,,
2003-Q2,services,transport and storage,other transport and storage services,0.1,,,,,,
2003-Q2,services,hotels and restaurants,hotels,-3.8,,,,,,
2003-Q2,services,hotels and restaurants,restaurants,-2,,,,,,
2003-Q2,services,information and communications,broadcasting and publishing,-0.3,,,,,,
2003-Q2,services,information and communications,telecommunications,-,,,,,,
2003-Q2,services,information and communications,it and other information services,-0.1,,,,,,
2003-Q2,services,financial services,financial institutions,0.4,,,,,,
2003-Q2,services,financial services,insurance,0.2,,,,,,
2003-Q2,services,real estate and leasing services,real estate and leasing services,-0.2,,,,,,
2003-Q2,services,professional services,"legal, accounting and management services",0.2,,,,,,
2003-Q2,services,professional services,architectural and engineering services,-0.5,,,,,,
2003-Q2,services,professional services,other professional services,0.4,,,,,,
2003-Q2,services,"community, social and personal services",education,-0.3,,,,,,
2003-Q2,services,"community, social and personal services",public administration,0.2,,,,,,
2003-Q2,services,"community, social and personal services",health and social services,0.4,,,,,,
2003-Q2,services,"community, social and personal services","other community, social and personal services",-2.1,,,,,,
2003-Q2,others,others,others,-0.2,,,,,,
2003-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1,,,,,,
2003-Q3,manufacturing,textile and wearing apparel,paper products and printing,-0.3,,,,,,
2003-Q3,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.8,,,,,,
2003-Q3,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.3,,,,,,
2003-Q3,manufacturing,fabricated metal products,fabricated metal products,-,,,,,,
2003-Q3,manufacturing,machinery and equipment,machinery and equipment,-0.1,,,,,,
2003-Q3,manufacturing,electrical products,electrical products,-0.1,,,,,,
2003-Q3,manufacturing,electronic products,electronic products,-0.2,,,,,,
2003-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-,,,,,,
2003-Q3,manufacturing,transport equipment,transport equipment,-0.4,,,,,,
2003-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-0.2,,,,,,
2003-Q3,construction,construction,construction,-1.9,,,,,,
2003-Q3,services,wholesale and retail trade,wholesale trade,-1.1,,,,,,
2003-Q3,services,wholesale and retail trade,retail trade,-0.9,,,,,,
2003-Q3,services,transport and storage,land transport and supporting services,-0.6,,,,,,
2003-Q3,services,transport and storage,water transport and supporting services,0.8,,,,,,
2003-Q3,services,transport and storage,air transport and supporting services,-0.8,,,,,,
2003-Q3,services,transport and storage,other transport and storage services,-0.3,,,,,,
2003-Q3,services,hotels and restaurants,hotels,1.9,,,,,,
2003-Q3,services,hotels and restaurants,restaurants,2.2,,,,,,
2003-Q3,services,information and communications,broadcasting and publishing,0.1,,,,,,
2003-Q3,services,information and communications,telecommunications,-,,,,,,
2003-Q3,services,information and communications,it and other information services,0.6,,,,,,
2003-Q3,services,financial services,financial institutions,-0.2,,,,,,
2003-Q3,services,financial services,insurance,0.1,,,,,,
2003-Q3,services,real estate and leasing services,real estate and leasing services,-1.2,,,,,,
2003-Q3,services,professional services,"legal, accounting and management services",0.2,,,,,,
2003-Q3,services,professional services,architectural and engineering services,-0.1,,,,,,
2003-Q3,services,professional services,other professional services,0.1,,,,,,
2003-Q3,services,"community, social and personal services",education,0.6,,,,,,
2003-Q3,services,"community, social and personal services",public administration,-0.8,,,,,,
2003-Q3,services,"community, social and personal services",health and social services,0.7,,,,,,
2003-Q3,services,"community, social and personal services","other community, social and personal services",0.7,,,,,,
2003-Q3,others,others,others,-0.4,,,,,,
2003-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1,,,,,,
2003-Q4,manufacturing,textile and wearing apparel,paper products and printing,1.1,,,,,,
2003-Q4,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",1.4,,,,,,
2003-Q4,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.1,,,,,,
2003-Q4,manufacturing,fabricated metal products,fabricated metal products,0.3,,,,,,
2003-Q4,manufacturing,machinery and equipment,machinery and equipment,0.8,,,,,,
2003-Q4,manufacturing,electrical products,electrical products,-,,,,,,
2003-Q4,manufacturing,electronic products,electronic products,1.5,,,,,,
2003-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-1.1,,,,,,
2003-Q4,manufacturing,transport equipment,transport equipment,0.3,,,,,,
2003-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.4,,,,,,
2003-Q4,construction,construction,construction,-2,,,,,,
2003-Q4,services,wholesale and retail trade,wholesale trade,1.5,,,,,,
2003-Q4,services,wholesale and retail trade,retail trade,2.7,,,,,,
2003-Q4,services,transport and storage,land transport and supporting services,-,,,,,,
2003-Q4,services,transport and storage,water transport and supporting services,-0.1,,,,,,
2003-Q4,services,transport and storage,air transport and supporting services,-,,,,,,
2003-Q4,services,transport and storage,other transport and storage services,1.1,,,,,,
2003-Q4,services,hotels and restaurants,hotels,2.4,,,,,,
2003-Q4,services,hotels and restaurants,restaurants,2.7,,,,,,
2003-Q4,services,information and communications,broadcasting and publishing,-1.2,,,,,,
2003-Q4,services,information and communications,telecommunications,-0.1,,,,,,
2003-Q4,services,information and communications,it and other information services,-0.6,,,,,,
2003-Q4,services,financial services,financial institutions,0.6,,,,,,
2003-Q4,services,financial services,insurance,0.3,,,,,,
2003-Q4,services,real estate and leasing services,real estate and leasing services,0.3,,,,,,
2003-Q4,services,professional services,"legal, accounting and management services",0.2,,,,,,
2003-Q4,services,professional services,architectural and engineering services,-0.3,,,,,,
2003-Q4,services,professional services,other professional services,0.2,,,,,,
2003-Q4,services,"community, social and personal services",education,-0.9,,,,,,
2003-Q4,services,"community, social and personal services",public administration,3.6,,,,,,
2003-Q4,services,"community, social and personal services",health and social services,0.1,,,,,,
2003-Q4,services,"community, social and personal services","other community, social and personal services",-0.6,,,,,,
2003-Q4,others,others,others,0.4,,,,,,
2004-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1,,,,,,
2004-Q1,manufacturing,textile and wearing apparel,paper products and printing,-,,,,,,
2004-Q1,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.3,,,,,,
2004-Q1,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.1,,,,,,
2004-Q1,manufacturing,fabricated metal products,fabricated metal products,0.2,,,,,,
2004-Q1,manufacturing,machinery and equipment,machinery and equipment,1.8,,,,,,
2004-Q1,manufacturing,electrical products,electrical products,-0.1,,,,,,
2004-Q1,manufacturing,electronic products,electronic products,2.1,,,,,,
2004-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.2,,,,,,
2004-Q1,manufacturing,transport equipment,transport equipment,1.4,,,,,,
2004-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.1,,,,,,
2004-Q1,construction,construction,construction,-3.6,,,,,,
2004-Q1,services,wholesale and retail trade,wholesale trade,1.7,,,,,,
2004-Q1,services,wholesale and retail trade,retail trade,0.7,,,,,,
2004-Q1,services,transport and storage,land transport and supporting services,-,,,,,,
2004-Q1,services,transport and storage,water transport and supporting services,-0.1,,,,,,
2004-Q1,services,transport and storage,air transport and supporting services,0.3,,,,,,
2004-Q1,services,transport and storage,other transport and storage services,0.5,,,,,,
2004-Q1,services,hotels and restaurants,hotels,-1.1,,,,,,
2004-Q1,services,hotels and restaurants,restaurants,0.5,,,,,,
2004-Q1,services,information and communications,broadcasting and publishing,0.5,,,,,,
2004-Q1,services,information and communications,telecommunications,0.1,,,,,,
2004-Q1,services,information and communications,it and other information services,1.3,,,,,,
2004-Q1,services,financial services,financial institutions,0.9,,,,,,
2004-Q1,services,financial services,insurance,0.3,,,,,,
2004-Q1,services,real estate and leasing services,real estate and leasing services,-1.7,,,,,,
2004-Q1,services,professional services,"legal, accounting and management services",0.6,,,,,,
2004-Q1,services,professional services,architectural and engineering services,-0.1,,,,,,
2004-Q1,services,professional services,other professional services,0.3,,,,,,
2004-Q1,services,"community, social and personal services",education,2.6,,,,,,
2004-Q1,services,"community, social and personal services",public administration,-1.8,,,,,,
2004-Q1,services,"community, social and personal services",health and social services,0.5,,,,,,
2004-Q1,services,"community, social and personal services","other community, social and personal services",3.9,,,,,,
2004-Q1,others,others,others,-0.3,,,,,,
2004-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2,,,,,,
2004-Q2,manufacturing,textile and wearing apparel,paper products and printing,0.1,,,,,,
2004-Q2,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.4,,,,,,
2004-Q2,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.2,,,,,,
2004-Q2,manufacturing,fabricated metal products,fabricated metal products,0.2,,,,,,
2004-Q2,manufacturing,machinery and equipment,machinery and equipment,1.2,,,,,,
2004-Q2,manufacturing,electrical products,electrical products,-0.1,,,,,,
2004-Q2,manufacturing,electronic products,electronic products,1.4,,,,,,
2004-Q2,manufacturing,medical and precision instruments,medical and precision instruments,0.9,,,,,,
2004-Q2,manufacturing,transport equipment,transport equipment,1.8,,,,,,
2004-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.1,,,,,,
2004-Q2,construction,construction,construction,-2.7,,,,,,
2004-Q2,services,wholesale and retail trade,wholesale trade,2.1,,,,,,
2004-Q2,services,wholesale and retail trade,retail trade,-0.5,,,,,,
2004-Q2,services,transport and storage,land transport and supporting services,0.2,,,,,,
2004-Q2,services,transport and storage,water transport and supporting services,-0.5,,,,,,
2004-Q2,services,transport and storage,air transport and supporting services,-0.3,,,,,,
2004-Q2,services,transport and storage,other transport and storage services,0.4,,,,,,
2004-Q2,services,hotels and restaurants,hotels,-0.5,,,,,,
2004-Q2,services,hotels and restaurants,restaurants,0.9,,,,,,
2004-Q2,services,information and communications,broadcasting and publishing,-,,,,,,
2004-Q2,services,information and communications,telecommunications,-,,,,,,
2004-Q2,services,information and communications,it and other information services,0.6,,,,,,
2004-Q2,services,financial services,financial institutions,1.6,,,,,,
2004-Q2,services,financial services,insurance,0.2,,,,,,
2004-Q2,services,real estate and leasing services,real estate and leasing services,-1,,,,,,
2004-Q2,services,professional services,"legal, accounting and management services",0.1,,,,,,
2004-Q2,services,professional services,architectural and engineering services,0.2,,,,,,
2004-Q2,services,professional services,other professional services,0.3,,,,,,
2004-Q2,services,"community, social and personal services",education,-0.2,,,,,,
2004-Q2,services,"community, social and personal services",public administration,-0.5,,,,,,
2004-Q2,services,"community, social and personal services",health and social services,0.4,,,,,,
2004-Q2,services,"community, social and personal services","other community, social and personal services",0.4,,,,,,
2004-Q2,others,others,others,-0.9,,,,,,
2004-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2,,,,,,
2004-Q3,manufacturing,textile and wearing apparel,paper products and printing,0.3,,,,,,
2004-Q3,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.1,,,,,,
2004-Q3,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-,,,,,,
2004-Q3,manufacturing,fabricated metal products,fabricated metal products,0.4,,,,,,
2004-Q3,manufacturing,machinery and equipment,machinery and equipment,1,,,,,,
2004-Q3,manufacturing,electrical products,electrical products,-,,,,,,
2004-Q3,manufacturing,electronic products,electronic products,3,,,,,,
2004-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1,,,,,,
2004-Q3,manufacturing,transport equipment,transport equipment,3.4,,,,,,
2004-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
2004-Q3,construction,construction,construction,-1.7,,,,,,
2004-Q3,services,wholesale and retail trade,wholesale trade,1.1,,,,,,
2004-Q3,services,wholesale and retail trade,retail trade,-0.9,,,,,,
2004-Q3,services,transport and storage,land transport and supporting services,0.3,,,,,,
2004-Q3,services,transport and storage,water transport and supporting services,0.5,,,,,,
2004-Q3,services,transport and storage,air transport and supporting services,-,,,,,,
2004-Q3,services,transport and storage,other transport and storage services,0.2,,,,,,
2004-Q3,services,hotels and restaurants,hotels,-0.5,,,,,,
2004-Q3,services,hotels and restaurants,restaurants,0.2,,,,,,
2004-Q3,services,information and communications,broadcasting and publishing,0.2,,,,,,
2004-Q3,services,information and communications,telecommunications,-0.2,,,,,,
2004-Q3,services,information and communications,it and other information services,0.1,,,,,,
2004-Q3,services,financial services,financial institutions,0.8,,,,,,
2004-Q3,services,financial services,insurance,0.3,,,,,,
2004-Q3,services,real estate and leasing services,real estate and leasing services,0.9,,,,,,
2004-Q3,services,professional services,"legal, accounting and management services",1.2,,,,,,
2004-Q3,services,professional services,architectural and engineering services,-0.5,,,,,,
2004-Q3,services,professional services,other professional services,0.2,,,,,,
2004-Q3,services,"community, social and personal services",education,-1.9,,,,,,
2004-Q3,services,"community, social and personal services",public administration,0.9,,,,,,
2004-Q3,services,"community, social and personal services",health and social services,0.4,,,,,,
2004-Q3,services,"community, social and personal services","other community, social and personal services",2.5,,,,,,
2004-Q3,others,others,others,-0.2,,,,,,
2004-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5,,,,,,
2004-Q4,manufacturing,textile and wearing apparel,paper products and printing,0.1,,,,,,
2004-Q4,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.4,,,,,,
2004-Q4,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-,,,,,,
2004-Q4,manufacturing,fabricated metal products,fabricated metal products,0.2,,,,,,
2004-Q4,manufacturing,machinery and equipment,machinery and equipment,1.3,,,,,,
2004-Q4,manufacturing,electrical products,electrical products,-0.1,,,,,,
2004-Q4,manufacturing,electronic products,electronic products,1.4,,,,,,
2004-Q4,manufacturing,medical and precision instruments,medical and precision instruments,0.2,,,,,,
2004-Q4,manufacturing,transport equipment,transport equipment,1.8,,,,,,
2004-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.4,,,,,,
2004-Q4,construction,construction,construction,-1.1,,,,,,
2004-Q4,services,wholesale and retail trade,wholesale trade,3.4,,,,,,
2004-Q4,services,wholesale and retail trade,retail trade,3.3,,,,,,
2004-Q4,services,transport and storage,land transport and supporting services,0.5,,,,,,
2004-Q4,services,transport and storage,water transport and supporting services,0.6,,,,,,
2004-Q4,services,transport and storage,air transport and supporting services,-0.6,,,,,,
2004-Q4,services,transport and storage,other transport and storage services,0.6,,,,,,
2004-Q4,services,hotels and restaurants,hotels,1.9,,,,,,
2004-Q4,services,hotels and restaurants,restaurants,2.7,,,,,,
2004-Q4,services,information and communications,broadcasting and publishing,-,,,,,,
2004-Q4,services,information and communications,telecommunications,-,,,,,,
2004-Q4,services,information and communications,it and other information services,0.3,,,,,,
2004-Q4,services,financial services,financial institutions,1.5,,,,,,
2004-Q4,services,financial services,insurance,0.5,,,,,,
2004-Q4,services,real estate and leasing services,real estate and leasing services,1.6,,,,,,
2004-Q4,services,professional services,"legal, accounting and management services",0.9,,,,,,
2004-Q4,services,professional services,architectural and engineering services,0.8,,,,,,
2004-Q4,services,professional services,other professional services,0.6,,,,,,
2004-Q4,services,"community, social and personal services",education,0.7,,,,,,
2004-Q4,services,"community, social and personal services",public administration,1.5,,,,,,
2004-Q4,services,"community, social and personal services",health and social services,0.5,,,,,,
2004-Q4,services,"community, social and personal services","other community, social and personal services",2.9,,,,,,
2004-Q4,others,others,others,0.1,,,,,,
2005-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4,,,,,,
2005-Q1,manufacturing,textile and wearing apparel,paper products and printing,0.3,,,,,,
2005-Q1,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.5,,,,,,
2005-Q1,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.1,,,,,,
2005-Q1,manufacturing,fabricated metal products,fabricated metal products,0.3,,,,,,
2005-Q1,manufacturing,machinery and equipment,machinery and equipment,1.1,,,,,,
2005-Q1,manufacturing,electrical products,electrical products,0.1,,,,,,
2005-Q1,manufacturing,electronic products,electronic products,0.3,,,,,,
2005-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.2,,,,,,
2005-Q1,manufacturing,transport equipment,transport equipment,2.4,,,,,,
2005-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.2,,,,,,
2005-Q1,construction,construction,construction,1.5,,,,,,
2005-Q1,services,wholesale and retail trade,wholesale trade,0.9,,,,,,
2005-Q1,services,wholesale and retail trade,retail trade,1.3,,,,,,
2005-Q1,services,transport and storage,land transport and supporting services,0.5,,,,,,
2005-Q1,services,transport and storage,water transport and supporting services,1.1,,,,,,
2005-Q1,services,transport and storage,air transport and supporting services,-0.5,,,,,,
2005-Q1,services,transport and storage,other transport and storage services,0.3,,,,,,
2005-Q1,services,hotels and restaurants,hotels,-0.9,,,,,,
2005-Q1,services,hotels and restaurants,restaurants,-0.3,,,,,,
2005-Q1,services,information and communications,broadcasting and publishing,-0.3,,,,,,
2005-Q1,services,information and communications,telecommunications,-0.1,,,,,,
2005-Q1,services,information and communications,it and other information services,0.3,,,,,,
2005-Q1,services,financial services,financial institutions,2,,,,,,
2005-Q1,services,financial services,insurance,0.2,,,,,,
2005-Q1,services,real estate and leasing services,real estate and leasing services,0.1,,,,,,
2005-Q1,services,professional services,"legal, accounting and management services",-0.6,,,,,,
2005-Q1,services,professional services,architectural and engineering services,-,,,,,,
2005-Q1,services,professional services,other professional services,0.1,,,,,,
2005-Q1,services,"community, social and personal services",education,0.8,,,,,,
2005-Q1,services,"community, social and personal services",public administration,0.4,,,,,,
2005-Q1,services,"community, social and personal services",health and social services,0.6,,,,,,
2005-Q1,services,"community, social and personal services","other community, social and personal services",3.1,,,,,,
2005-Q1,others,others,others,0.3,,,,,,
2005-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4,,,,,,
2005-Q2,manufacturing,textile and wearing apparel,paper products and printing,0.3,,,,,,
2005-Q2,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.8,,,,,,
2005-Q2,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.4,,,,,,
2005-Q2,manufacturing,fabricated metal products,fabricated metal products,0.5,,,,,,
2005-Q2,manufacturing,machinery and equipment,machinery and equipment,1.5,,,,,,
2005-Q2,manufacturing,electrical products,electrical products,-,,,,,,
2005-Q2,manufacturing,electronic products,electronic products,1.1,,,,,,
2005-Q2,manufacturing,medical and precision instruments,medical and precision instruments,0.4,,,,,,
2005-Q2,manufacturing,transport equipment,transport equipment,4.2,,,,,,
2005-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.5,,,,,,
2005-Q2,construction,construction,construction,3.4,,,,,,
2005-Q2,services,wholesale and retail trade,wholesale trade,1.7,,,,,,
2005-Q2,services,wholesale and retail trade,retail trade,0.9,,,,,,
2005-Q2,services,transport and storage,land transport and supporting services,0.2,,,,,,
2005-Q2,services,transport and storage,water transport and supporting services,0.7,,,,,,
2005-Q2,services,transport and storage,air transport and supporting services,0.3,,,,,,
2005-Q2,services,transport and storage,other transport and storage services,0.3,,,,,,
2005-Q2,services,hotels and restaurants,hotels,-0.3,,,,,,
2005-Q2,services,hotels and restaurants,restaurants,0.7,,,,,,
2005-Q2,services,information and communications,broadcasting and publishing,0.2,,,,,,
2005-Q2,services,information and communications,telecommunications,-0.1,,,,,,
2005-Q2,services,information and communications,it and other information services,1.1,,,,,,
2005-Q2,services,financial services,financial institutions,1.5,,,,,,
2005-Q2,services,financial services,insurance,0.5,,,,,,
2005-Q2,services,real estate and leasing services,real estate and leasing services,0.3,,,,,,
2005-Q2,services,professional services,"legal, accounting and management services",1.3,,,,,,
2005-Q2,services,professional services,architectural and engineering services,0.5,,,,,,
2005-Q2,services,professional services,other professional services,0.8,,,,,,
2005-Q2,services,"community, social and personal services",education,0.5,,,,,,
2005-Q2,services,"community, social and personal services",public administration,0.6,,,,,,
2005-Q2,services,"community, social and personal services",health and social services,0.4,,,,,,
2005-Q2,services,"community, social and personal services","other community, social and personal services",2.8,,,,,,
2005-Q2,others,others,others,0.1,,,,,,
2005-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.9,,,,,,
2005-Q3,manufacturing,textile and wearing apparel,paper products and printing,0.3,,,,,,
2005-Q3,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",-0.1,,,,,,
2005-Q3,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.4,,,,,,
2005-Q3,manufacturing,fabricated metal products,fabricated metal products,0.5,,,,,,
2005-Q3,manufacturing,machinery and equipment,machinery and equipment,1.5,,,,,,
2005-Q3,manufacturing,electrical products,electrical products,-,,,,,,
2005-Q3,manufacturing,electronic products,electronic products,0.7,,,,,,
2005-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-,,,,,,
2005-Q3,manufacturing,transport equipment,transport equipment,4.5,,,,,,
2005-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.1,,,,,,
2005-Q3,construction,construction,construction,2.2,,,,,,
2005-Q3,services,wholesale and retail trade,wholesale trade,2.6,,,,,,
2005-Q3,services,wholesale and retail trade,retail trade,0.1,,,,,,
2005-Q3,services,transport and storage,land transport and supporting services,0.2,,,,,,
2005-Q3,services,transport and storage,water transport and supporting services,0.2,,,,,,
2005-Q3,services,transport and storage,air transport and supporting services,-0.4,,,,,,
2005-Q3,services,transport and storage,other transport and storage services,0.7,,,,,,
2005-Q3,services,hotels and restaurants,hotels,0.2,,,,,,
2005-Q3,services,hotels and restaurants,restaurants,0.8,,,,,,
2005-Q3,services,information and communications,broadcasting and publishing,-0.1,,,,,,
2005-Q3,services,information and communications,telecommunications,-,,,,,,
2005-Q3,services,information and communications,it and other information services,1.1,,,,,,
2005-Q3,services,financial services,financial institutions,1.3,,,,,,
2005-Q3,services,financial services,insurance,0.5,,,,,,
2005-Q3,services,real estate and leasing services,real estate and leasing services,1.2,,,,,,
2005-Q3,services,professional services,"legal, accounting and management services",1.9,,,,,,
2005-Q3,services,professional services,architectural and engineering services,0.9,,,,,,
2005-Q3,services,professional services,other professional services,0.6,,,,,,
2005-Q3,services,"community, social and personal services",education,1.1,,,,,,
2005-Q3,services,"community, social and personal services",public administration,-1,,,,,,
2005-Q3,services,"community, social and personal services",health and social services,0.1,,,,,,
2005-Q3,services,"community, social and personal services","other community, social and personal services",3.7,,,,,,
2005-Q3,others,others,others,-0.2,,,,,,
2005-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.7,,,,,,
