MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2010 to Jul 2026


SORA Value Date,,,SORA Publication Date,Compound SORA - 1 month,Compound SORA - 3 month
,,16,17 May 2017,0.4764,0.3784
,,17,18 May 2017,0.4815,0.3830
,,18,19 May 2017,0.4867,0.3870
,,19,22 May 2017,0.5063,0.3964
,,22,23 May 2017,0.5090,0.3959
,,23,24 May 2017,0.5069,0.3941
,,24,25 May 2017,0.5060,0.3962
,,25,26 May 2017,0.5009,0.3975
,,26,29 May 2017,0.4977,0.4021
,,29,30 May 2017,0.4946,0.4017
,,30,31 May 2017,0.4929,0.4021
,,31,01 Jun 2017,0.4928,0.4018
,Jun,01,02 Jun 2017,0.4900,0.4025
,,02,05 Jun 2017,0.5014,0.4153
,,05,06 Jun 2017,0.5064,0.4201
,,06,07 Jun 2017,0.5142,0.4253
,,07,08 Jun 2017,0.5257,0.4328
,,08,09 Jun 2017,0.5247,0.4372
,,09,12 Jun 2017,0.5016,0.4411
,,12,13 Jun 2017,0.4906,0.4420
,,13,14 Jun 2017,0.4750,0.4419
,,14,15 Jun 2017,0.4601,0.4416
,,15,16 Jun 2017,0.4483,0.4420
,,16,19 Jun 2017,0.4032,0.4321
,,19,20 Jun 2017,0.3903,0.4285
,,20,21 Jun 2017,0.3772,0.4234
,,21,22 Jun 2017,0.3680,0.4226
,,22,23 Jun 2017,0.3645,0.4241
,,23,27 Jun 2017,0.4587,0.4635
,,27,28 Jun 2017,0.4678,0.4689
,,28,29 Jun 2017,0.4830,0.4768
,,29,30 Jun 2017,0.5100,0.4846
,,30,03 Jul 2017,0.5486,0.4935
,Jul,03,04 Jul 2017,0.5572,0.4950
,,04,05 Jul 2017,0.5786,0.5042
,,05,06 Jul 2017,0.5988,0.5143
,,06,07 Jul 2017,0.6061,0.5222
,,07,10 Jul 2017,0.6725,0.5551
,,10,11 Jul 2017,0.7034,0.5652
,,11,12 Jul 2017,0.7303,0.5728
,,12,13 Jul 2017,0.7558,0.5785
,,13,14 Jul 2017,0.7712,0.5768
,,14,17 Jul 2017,0.7968,0.5663
,,17,18 Jul 2017,0.8023,0.5650
,,18,19 Jul 2017,0.8063,0.5639
,,19,20 Jul 2017,0.8152,0.5658
,,20,21 Jul 2017,0.8293,0.5682
,,21,24 Jul 2017,0.8370,0.5753
,,24,25 Jul 2017,0.8249,0.5790
,,25,26 Jul 2017,0.8131,0.5822
,,26,27 Jul 2017,0.7999,0.5837
,,27,28 Jul 2017,0.7948,0.5858
,,28,31 Jul 2017,0.7719,0.5935
,,31,01 Aug 2017,0.7772,0.5993
,Aug,01,02 Aug 2017,0.7793,0.6041
,,02,03 Aug 2017,0.7829,0.6094
,,03,04 Aug 2017,0.7756,0.6104
,,04,07 Aug 2017,0.7336,0.6184
,,07,08 Aug 2017,0.7115,0.6187
,,08,10 Aug 2017,0.6632,0.6173
,,10,11 Aug 2017,0.6376,0.6162
,,11,14 Aug 2017,0.5976,0.6132
,,14,15 Aug 2017,0.6064,0.6142
,,15,16 Aug 2017,0.6165,0.6162
,,16,17 Aug 2017,0.6288,0.6167
,,17,18 Aug 2017,0.6405,0.6177
,,18,21 Aug 2017,0.6793,0.6267
,,21,22 Aug 2017,0.6843,0.6299
,,22,23 Aug 2017,0.6910,0.6336
,,23,24 Aug 2017,0.6999,0.6397
,,24,25 Aug 2017,0.7079,0.6463
,,25,28 Aug 2017,0.7609,0.6736
,,28,29 Aug 2017,0.7739,0.6811
,,29,30 Aug 2017,0.7691,0.6835
,,30,31 Aug 2017,0.7547,0.6819
,,31,04 Sep 2017,0.7116,0.6832
,Sep,04,05 Sep 2017,0.7175,0.6865
,,05,06 Sep 2017,0.7242,0.6895
,,06,07 Sep 2017,0.7259,0.6898
,,07,08 Sep 2017,0.7289,0.6873
,,08,11 Sep 2017,0.7569,0.6997
,,11,12 Sep 2017,0.7684,0.7057
,,12,13 Sep 2017,0.7768,0.7110
,,13,14 Sep 2017,0.7765,0.7149
,,14,15 Sep 2017,0.7654,0.7172
,,15,18 Sep 2017,0.7230,0.7215
,,18,19 Sep 2017,0.7133,0.7256
,,19,20 Sep 2017,0.7032,0.7294
,,20,21 Sep 2017,0.6988,0.7352
,,21,22 Sep 2017,0.6922,0.7393
,,22,25 Sep 2017,0.6672,0.7328
,,25,26 Sep 2017,0.6460,0.7269
,,26,27 Sep 2017,0.6239,0.7207
,,27,28 Sep 2017,0.6052,0.7199
,,28,29 Sep 2017,0.5865,0.7160
,,29,02 Oct 2017,0.6021,0.7045
,Oct,02,03 Oct 2017,0.6044,0.7020
,,03,04 Oct 2017,0.6063,0.6992
,,04,05 Oct 2017,0.5891,0.6899
,,05,06 Oct 2017,0.5747,0.6816
,,06,09 Oct 2017,0.5676,0.6657
,,09,10 Oct 2017,0.5651,0.6597
,,10,11 Oct 2017,0.5609,0.6531
,,11,12 Oct 2017,0.5560,0.6488
,,12,13 Oct 2017,0.5553,0.6455
,,13,16 Oct 2017,0.5892,0.6535
,,16,17 Oct 2017,0.6033,0.6568
,,17,19 Oct 2017,0.6228,0.6657
,,19,20 Oct 2017,0.6395,0.6721
,,20,23 Oct 2017,0.7087,0.6954
,,23,24 Oct 2017,0.7320,0.7031
,,24,25 Oct 2017,0.7488,0.7080
,,25,26 Oct 2017,0.7736,0.7140
,,26,27 Oct 2017,0.7925,0.7182
,,27,30 Oct 2017,0.8441,0.7326
,,30,31 Oct 2017,0.8548,0.7374
,,31,01 Nov 2017,0.8709,0.7386
,Nov,01,02 Nov 2017,0.8852,0.7403
,,02,03 Nov 2017,0.8908,0.7384
,,03,06 Nov 2017,0.9250,0.7436
,,06,07 Nov 2017,0.9283,0.7438
,,07,08 Nov 2017,0.9321,0.7463
,,08,09 Nov 2017,0.9383,0.7503
,,09,10 Nov 2017,0.9444,0.7545
,,10,13 Nov 2017,0.9785,0.7730
,,13,14 Nov 2017,0.9788,0.7756
,,14,15 Nov 2017,0.9781,0.7757
,,15,16 Nov 2017,0.9739,0.7741
,,16,17 Nov 2017,0.9689,0.7716
,,17,20 Nov 2017,0.9454,0.7645
,,20,21 Nov 2017,0.9169,0.7609
,,21,22 Nov 2017,0.8807,0.7543
,,22,23 Nov 2017,0.8420,0.7464
,,23,24 Nov 2017,0.8084,0.7397
,,24,27 Nov 2017,0.7417,0.7190
,,27,28 Nov 2017,0.7270,0.7127
,,28,29 Nov 2017,0.7161,0.7089
,,29,30 Nov 2017,0.7185,0.7155
,,30,01 Dec 2017,0.7087,0.7284
,Dec,01,04 Dec 2017,0.7424,0.7512
,,04,05 Dec 2017,0.7481,0.7525
,,05,06 Dec 2017,0.7484,0.7518
,,06,07 Dec 2017,0.7494,0.7518
,,07,08 Dec 2017,0.7494,0.7533
,,08,11 Dec 2017,0.7401,0.7557
,,11,12 Dec 2017,0.7344,0.7558
,,12,13 Dec 2017,0.7317,0.7581
,,13,14 Dec 2017,0.7366,0.7624
,,14,15 Dec 2017,0.7395,0.7672
,,15,18 Dec 2017,0.7583,0.7825
,,18,19 Dec 2017,0.7675,0.7859
,,19,20 Dec 2017,0.7803,0.7906
,,20,21 Dec 2017,0.7950,0.7933
,,21,22 Dec 2017,0.8200,0.7972
,,22,26 Dec 2017,0.9359,0.8233
,,26,27 Dec 2017,0.9579,0.8303
,,27,28 Dec 2017,0.9676,0.8335
,,28,29 Dec 2017,0.9668,0.8358
,,29,02 Jan 2018,0.9283,0.8446


SORA Value Date,,,SORA Publication Date,Compound SORA - 1 month,Compound SORA - 3 month
2018,Jan,02,03 Jan 2018,0.9148,0.8468
,,03,04 Jan 2018,0.9092,0.8519
,,04,05 Jan 2018,0.8967,0.8545
,,05,08 Jan 2018,0.8557,0.8474
,,08,09 Jan 2018,0.8320,0.8413
,,09,10 Jan 2018,0.8085,0.8350
,,10,11 Jan 2018,0.7875,0.8301
,,11,12 Jan 2018,0.7627,0.8234
,,12,15 Jan 2018,0.7253,0.8157
,,15,16 Jan 2018,0.7067,0.8100
,,16,17 Jan 2018,0.6860,0.8034
,,17,18 Jan 2018,0.6665,0.7974
,,18,19 Jan 2018,0.6425,0.7908
,,19,22 Jan 2018,0.6149,0.7719
,,22,23 Jan 2018,0.5945,0.7639
,,23,24 Jan 2018,0.5592,0.7505
,,24,25 Jan 2018,0.5221,0.7386
,,25,26 Jan 2018,0.4830,0.7247
,,26,29 Jan 2018,0.4081,0.6944
,,29,30 Jan 2018,0.3896,0.6853
,,30,31 Jan 2018,0.3833,0.6798
,,31,01 Feb 2018,0.3823,0.6769
,Feb,01,02 Feb 2018,0.3795,0.6740
,,02,05 Feb 2018,0.3968,0.6802
,,05,06 Feb 2018,0.4035,0.6772
,,06,07 Feb 2018,0.4122,0.6762
,,07,08 Feb 2018,0.4222,0.6753
,,08,09 Feb 2018,0.4469,0.6755
,,09,12 Feb 2018,0.5677,0.6882
,,12,13 Feb 2018,0.5980,0.6924
,,13,14 Feb 2018,0.6192,0.6969
,,14,15 Feb 2018,0.6240,0.6962
,,15,19 Feb 2018,0.6838,0.6976
,,19,20 Feb 2018,0.6866,0.6998
,,20,21 Feb 2018,0.6945,0.7045
,,21,22 Feb 2018,0.7088,0.7139
,,22,23 Feb 2018,0.7280,0.7254
,,23,26 Feb 2018,0.8708,0.7618
,,26,27 Feb 2018,0.9176,0.7739
,,27,28 Feb 2018,0.9603,0.7832
,,28,01 Mar 2018,1.0137,0.7711
,Mar,01,02 Mar 2018,0.9993,0.7618
,,02,05 Mar 2018,0.9554,0.7432
,,05,06 Mar 2018,0.9660,0.7434
,,06,07 Mar 2018,0.9706,0.7434
,,07,08 Mar 2018,0.9814,0.7459
,,08,09 Mar 2018,0.9816,0.7463
,,09,12 Mar 2018,0.9280,0.7474
,,12,13 Mar 2018,0.9060,0.7458
,,13,14 Mar 2018,0.8876,0.7430
,,14,15 Mar 2018,0.8870,0.7412
,,15,16 Mar 2018,0.8868,0.7393
,,16,19 Mar 2018,0.8546,0.7232
,,19,20 Mar 2018,0.8481,0.7191
,,20,21 Mar 2018,0.8394,0.7163
,,21,22 Mar 2018,0.8322,0.7153
,,22,23 Mar 2018,0.8153,0.7096
,,23,26 Mar 2018,0.7260,0.6925
,,26,27 Mar 2018,0.6910,0.6867
,,27,28 Mar 2018,0.6623,0.6840
,,28,29 Mar 2018,0.6597,0.6820
,,29,02 Apr 2018,0.6871,0.6786
,Apr,02,03 Apr 2018,0.6902,0.6773
,,03,04 Apr 2018,0.6907,0.6724
,,04,05 Apr 2018,0.6857,0.6704
,,05,06 Apr 2018,0.6633,0.6683
,,06,09 Apr 2018,0.5989,0.6660
,,09,10 Apr 2018,0.5781,0.6674
,,10,11 Apr 2018,0.5598,0.6689
,,11,12 Apr 2018,0.5419,0.6713
,,12,13 Apr 2018,0.5263,0.6695
,,13,16 Apr 2018,0.5053,0.6699
,,16,17 Apr 2018,0.5075,0.6727
,,17,18 Apr 2018,0.5109,0.6756
,,18,19 Apr 2018,0.5158,0.6795
,,19,20 Apr 2018,0.5317,0.6839
,,20,23 Apr 2018,0.5851,0.7063
,,23,24 Apr 2018,0.5970,0.7169
,,24,25 Apr 2018,0.6007,0.7253
,,25,26 Apr 2018,0.6040,0.7343
,,26,27 Apr 2018,0.6145,0.7432
,,27,30 Apr 2018,0.7173,0.7942
,,30,02 May 2018,0.7610,0.8108
,May,02,03 May 2018,0.7755,0.8121
,,03,04 May 2018,0.7923,0.8133
,,04,07 May 2018,0.8848,0.8288
,,07,08 May 2018,0.9257,0.8372
,,08,09 May 2018,0.9720,0.8456
,,09,10 May 2018,1.0171,0.8479
,,10,11 May 2018,1.0414,0.8442
,,11,14 May 2018,1.0978,0.8306
,,14,15 May 2018,1.1185,0.8350
,,15,16 May 2018,1.1296,0.8363
,,16,17 May 2018,1.1388,0.8368
,,17,18 May 2018,1.1396,0.8349
,,18,21 May 2018,1.0906,0.8249
,,21,22 May 2018,1.0687,0.8199
,,22,23 May 2018,1.0471,0.8138
,,23,24 May 2018,1.0522,0.8103
,,24,25 May 2018,1.0576,0.8040
,,25,28 May 2018,1.0783,0.7981
,,28,30 May 2018,1.0621,0.8139
,,30,31 May 2018,1.0780,0.8220
,,31,01 Jun 2018,1.0667,0.8277
,Jun,01,04 Jun 2018,1.0442,0.8435
,,04,05 Jun 2018,1.0525,0.8528
,,05,06 Jun 2018,1.0636,0.8601
,,06,07 Jun 2018,1.0728,0.8679
,,07,08 Jun 2018,1.0631,0.8695
,,08,11 Jun 2018,1.0399,0.8793
,,11,12 Jun 2018,1.0471,0.8822
,,12,13 Jun 2018,1.0443,0.8823
,,13,14 Jun 2018,1.0349,0.8822
,,14,18 Jun 2018,1.0434,0.8960
,,18,19 Jun 2018,1.0456,0.8986
,,19,20 Jun 2018,1.0439,0.8967
,,20,21 Jun 2018,1.0450,0.8948
,,21,22 Jun 2018,1.0415,0.8910
,,22,25 Jun 2018,0.9896,0.8814
,,25,26 Jun 2018,0.9662,0.8806
,,26,27 Jun 2018,0.9507,0.8834
,,27,28 Jun 2018,0.9317,0.8846
,,28,29 Jun 2018,0.9096,0.8872
,,29,02 Jul 2018,0.9014,0.9068
,Jul,02,03 Jul 2018,0.9012,0.9103
,,03,04 Jul 2018,0.8986,0.9138
,,04,05 Jul 2018,0.8787,0.9183
,,05,06 Jul 2018,0.8573,0.9263
,,06,09 Jul 2018,0.8787,0.9683
,,09,10 Jul 2018,0.8888,0.9820
,,10,11 Jul 2018,0.8982,0.9945
,,11,12 Jul 2018,0.9074,1.0066
,,12,13 Jul 2018,0.9224,1.0170
,,13,16 Jul 2018,0.9724,1.0443
,,16,17 Jul 2018,0.9862,1.0532
,,17,18 Jul 2018,0.9868,1.0574
,,18,19 Jul 2018,0.9980,1.0621
,,19,20 Jul 2018,1.0170,1.0610
,,20,23 Jul 2018,1.0712,1.0516
,,23,24 Jul 2018,1.1026,1.0547
,,24,25 Jul 2018,1.1339,1.0605
,,25,26 Jul 2018,1.1441,1.0619
,,26,27 Jul 2018,1.1527,1.0641
,,27,30 Jul 2018,1.2026,1.0555
,,30,31 Jul 2018,1.2143,1.0611
,,31,01 Aug 2018,1.2268,1.0639
,Aug,01,02 Aug 2018,1.2418,1.0675
,,02,03 Aug 2018,1.2638,1.0737
,,03,06 Aug 2018,1.3551,1.0955
,,06,07 Aug 2018,1.3676,1.1027
,,07,08 Aug 2018,1.3677,1.1032
,,08,10 Aug 2018,1.3602,1.0982
,,10,13 Aug 2018,1.3679,1.1146
,,13,14 Aug 2018,1.3865,1.1244
,,14,15 Aug 2018,1.3941,1.1292
,,15,16 Aug 2018,1.4100,1.1399
,,16,17 Aug 2018,1.4053,1.1442
,,17,20 Aug 2018,1.3991,1.1559
,,20,21 Aug 2018,1.3893,1.1591
,,21,23 Aug 2018,1.4006,1.1709
,,23,24 Aug 2018,1.3935,1.1699
,,24,27 Aug 2018,1.4275,1.1784
,,27,28 Aug 2018,1.4277,1.1794
,,28,29 Aug 2018,1.4243,1.1781
,,29,30 Aug 2018,1.4198,1.1764
,,30,31 Aug 2018,1.4051,1.1715
,,31,03 Sep 2018,1.3398,1.1723
,Sep,03,04 Sep 2018,1.3119,1.1719
,,04,05 Sep 2018,1.2874,1.1678
,,05,06 Sep 2018,1.2482,1.1578
,,06,07 Sep 2018,1.2111,1.1493
,,07,10 Sep 2018,1.1556,1.1386
,,10,11 Sep 2018,1.1305,1.1334
,,11,12 Sep 2018,1.1049,1.1282
,,12,13 Sep 2018,1.0870,1.1290
,,13,14 Sep 2018,1.0568,1.1318
,,14,17 Sep 2018,1.0213,1.1403
,,17,18 Sep 2018,1.0355,1.1457
,,18,19 Sep 2018,1.0502,1.1537
,,19,20 Sep 2018,1.0665,1.1635
,,20,21 Sep 2018,1.0871,1.1733
,,21,24 Sep 2018,1.1071,1.2033
,,24,25 Sep 2018,1.0932,1.2104
,,25,26 Sep 2018,1.0827,1.2162
,,26,27 Sep 2018,1.0677,1.2179
,,27,28 Sep 2018,1.0518,1.2199
,,28,01 Oct 2018,1.0336,1.2178
,Oct,01,02 Oct 2018,1.0377,1.2161
,,02,03 Oct 2018,1.0384,1.2172
,,03,04 Oct 2018,1.0437,1.2193
,,04,05 Oct 2018,1.0508,1.2241
,,05,08 Oct 2018,1.1093,1.2248
,,08,09 Oct 2018,1.1189,1.2208
,,09,10 Oct 2018,1.1312,1.2178
,,10,11 Oct 2018,1.1432,1.2134
,,11,12 Oct 2018,1.1590,1.2104
,,12,15 Oct 2018,1.1856,1.2091
,,15,16 Oct 2018,1.1886,1.2081
,,16,17 Oct 2018,1.1862,1.2057
,,17,18 Oct 2018,1.1786,1.2084
,,18,19 Oct 2018,1.1738,1.2112
,,19,22 Oct 2018,1.1671,1.2203
,,22,23 Oct 2018,1.1603,1.2221
,,23,24 Oct 2018,1.1533,1.2199
,,24,25 Oct 2018,1.1608,1.2192
,,25,26 Oct 2018,1.1652,1.2231
,,26,29 Oct 2018,1.1872,1.2196
,,29,30 Oct 2018,1.1937,1.2175
,,30,31 Oct 2018,1.1983,1.2150
,,31,01 Nov 2018,1.2093,1.2119
,Nov,01,02 Nov 2018,1.2204,1.2089
,,02,05 Nov 2018,1.2599,1.2022
,,05,07 Nov 2018,1.2645,1.1918
,,07,08 Nov 2018,1.2638,1.1897
,,08,09 Nov 2018,1.2706,1.1893
,,09,12 Nov 2018,1.2876,1.1853
,,12,13 Nov 2018,1.2897,1.1833
,,13,14 Nov 2018,1.2926,1.1777
,,14,15 Nov 2018,1.2926,1.1749
,,15,16 Nov 2018,1.3049,1.1726
,,16,19 Nov 2018,1.3875,1.2054
,,19,20 Nov 2018,1.4078,1.2177
,,20,21 Nov 2018,1.4147,1.2261
,,21,22 Nov 2018,1.4280,1.2314
,,22,23 Nov 2018,1.4379,1.2347
,,23,26 Nov 2018,1.4635,1.2392
,,26,27 Nov 2018,1.4692,1.2383
,,27,28 Nov 2018,1.4719,1.2368
,,28,29 Nov 2018,1.4738,1.2363
,,29,30 Nov 2018,1.4899,1.2412
,,30,03 Dec 2018,1.5403,1.2724
,Dec,03,04 Dec 2018,1.5514,1.2829
,,04,05 Dec 2018,1.5530,1.2889
,,05,06 Dec 2018,1.5496,1.2960
,,06,07 Dec 2018,1.5201,1.2936
,,07,10 Dec 2018,1.5061,1.3049
,,10,11 Dec 2018,1.5012,1.3100
,,11,12 Dec 2018,1.5029,1.3176
,,12,13 Dec 2018,1.5157,1.3259
,,13,14 Dec 2018,1.5266,1.3342
,,14,17 Dec 2018,1.5309,1.3521
,,17,18 Dec 2018,1.5169,1.3544
,,18,19 Dec 2018,1.5067,1.3579
,,19,20 Dec 2018,1.5059,1.3645
,,20,21 Dec 2018,1.5227,1.3715
,,21,24 Dec 2018,1.5690,1.3928
,,24,26 Dec 2018,1.5944,1.4099
,,26,27 Dec 2018,1.6183,1.4220
,,27,28 Dec 2018,1.6296,1.4297
,,28,31 Dec 2018,1.6542,1.4504
,,31,02 Jan 2019,1.6412,1.4639


SORA Value Date,,,SORA Publication Date,Compound SORA - 1 month,Compound SORA - 3 month
2019,Jan,02,03 Jan 2019,1.6190,1.4660
,,03,04 Jan 2019,1.5885,1.4643
,,04,07 Jan 2019,1.6038,1.4640
,,07,08 Jan 2019,1.6044,1.4626
,,08,09 Jan 2019,1.6042,1.4631
,,09,10 Jan 2019,1.6064,1.4635
,,10,11 Jan 2019,1.6052,1.4643
,,11,14 Jan 2019,1.5688,1.4638
,,14,15 Jan 2019,1.5550,1.4633
,,15,16 Jan 2019,1.5401,1.4632
,,16,17 Jan 2019,1.5341,1.4678
,,17,18 Jan 2019,1.5369,1.4736
,,18,21 Jan 2019,1.5180,1.4866
,,21,22 Jan 2019,1.4982,1.4882
,,22,23 Jan 2019,1.4876,1.4939
,,23,24 Jan 2019,1.4809,1.5009
,,24,25 Jan 2019,1.4798,1.5072
,,25,28 Jan 2019,1.4619,1.5219
,,28,29 Jan 2019,1.4614,1.5278
,,29,30 Jan 2019,1.4628,1.5342
,,30,31 Jan 2019,1.4651,1.5406
,,31,01 Feb 2019,1.4694,1.5455
,Feb,01,04 Feb 2019,1.4999,1.5486
,,04,07 Feb 2019,1.5474,1.5595
,,07,08 Feb 2019,1.5633,1.5637
,,08,11 Feb 2019,1.6295,1.5816
,,11,12 Feb 2019,1.6502,1.5871
,,12,13 Feb 2019,1.6715,1.5932
,,13,14 Feb 2019,1.6905,1.5982
,,14,15 Feb 2019,1.7075,1.6034
,,15,18 Feb 2019,1.7289,1.5972
,,18,19 Feb 2019,1.7263,1.5937
,,19,20 Feb 2019,1.7285,1.5913
,,20,21 Feb 2019,1.7256,1.5916
,,21,22 Feb 2019,1.7283,1.5896
,,22,25 Feb 2019,1.7159,1.5947
,,25,26 Feb 2019,1.7123,1.5956
,,26,27 Feb 2019,1.7064,1.5969
,,27,28 Feb 2019,1.6957,1.5975
,,28,01 Mar 2019,1.6670,1.5944
,Mar,01,04 Mar 2019,1.6837,1.5897
,,04,05 Mar 2019,1.6721,1.5877
,,05,06 Mar 2019,1.6563,1.5884
,,06,07 Mar 2019,1.6367,1.5967
,,07,08 Mar 2019,1.6227,1.5980
,,08,11 Mar 2019,1.5459,1.5972
,,11,12 Mar 2019,1.5233,1.5953
,,12,13 Mar 2019,1.4958,1.5886
,,13,14 Mar 2019,1.4725,1.5828
,,14,15 Mar 2019,1.4513,1.5773
,,15,18 Mar 2019,1.4176,1.5679
,,18,19 Mar 2019,1.4056,1.5640
,,19,20 Mar 2019,1.3955,1.5586
,,20,21 Mar 2019,1.3968,1.5538
,,21,22 Mar 2019,1.4007,1.5491
,,22,25 Mar 2019,1.3937,1.5363
,,25,26 Mar 2019,1.3914,1.5322
,,26,27 Mar 2019,1.3951,1.5267
,,27,28 Mar 2019,1.4105,1.5283
,,28,29 Mar 2019,1.4258,1.5284
,,29,01 Apr 2019,1.4970,1.5423
,Apr,01,02 Apr 2019,1.4886,1.5399
,,02,03 Apr 2019,1.4799,1.5428
,,03,04 Apr 2019,1.4699,1.5488
,,04,05 Apr 2019,1.4703,1.5507
,,05,08 Apr 2019,1.5166,1.5677
,,08,09 Apr 2019,1.5388,1.5751
,,09,10 Apr 2019,1.5610,1.5817
,,10,11 Apr 2019,1.5807,1.5887
,,11,12 Apr 2019,1.5969,1.5944
,,12,15 Apr 2019,1.6566,1.6123
,,15,16 Apr 2019,1.6682,1.6180
,,16,17 Apr 2019,1.6813,1.6212
,,17,18 Apr 2019,1.6930,1.6218
,,18,22 Apr 2019,1.7299,1.6291
,,22,23 Apr 2019,1.7342,1.6295
,,23,24 Apr 2019,1.7364,1.6279
,,24,25 Apr 2019,1.7380,1.6255
,,25,26 Apr 2019,1.7440,1.6255
,,26,29 Apr 2019,1.7316,1.6217
,,29,30 Apr 2019,1.7195,1.6214
,,30,02 May 2019,1.7147,1.6249
,May,02,03 May 2019,1.7284,1.6282
,,03,06 May 2019,1.7694,1.6365
,,06,07 May 2019,1.7782,1.6393
,,07,08 May 2019,1.7923,1.6451
,,08,09 May 2019,1.7990,1.6471
,,09,10 May 2019,1.7962,1.6458
,,10,13 May 2019,1.8086,1.6459
,,13,14 May 2019,1.8097,1.6456
,,14,15 May 2019,1.8161,1.6479
,,15,16 May 2019,1.8205,1.6499
,,16,17 May 2019,1.8261,1.6529
,,17,21 May 2019,1.8693,1.6731
,,21,22 May 2019,1.8674,1.6749
,,22,23 May 2019,1.8663,1.6753
,,23,24 May 2019,1.8576,1.6724
,,24,27 May 2019,1.8568,1.6744
,,27,28 May 2019,1.8570,1.6772
,,28,29 May 2019,1.8624,1.6790
,,29,30 May 2019,1.8642,1.6816
,,30,31 May 2019,1.8553,1.6807
,,31,03 Jun 2019,1.8399,1.6846
,Jun,03,04 Jun 2019,1.8341,1.6844
,,04,06 Jun 2019,1.8113,1.6897
,,06,07 Jun 2019,1.7908,1.6914
,,07,10 Jun 2019,1.7917,1.7179
,,10,11 Jun 2019,1.7969,1.7273
,,11,12 Jun 2019,1.8068,1.7378
,,12,13 Jun 2019,1.8081,1.7467
,,13,14 Jun 2019,1.7910,1.7478
,,14,17 Jun 2019,1.7415,1.7514
,,17,18 Jun 2019,1.7162,1.7515
,,18,19 Jun 2019,1.6954,1.7534
,,19,20 Jun 2019,1.6697,1.7515
,,20,21 Jun 2019,1.6446,1.7480
,,21,24 Jun 2019,1.6404,1.7461
,,24,25 Jun 2019,1.6358,1.7452
,,25,26 Jun 2019,1.6266,1.7434
,,26,27 Jun 2019,1.6150,1.7398
,,27,28 Jun 2019,1.6069,1.7350
,,28,01 Jul 2019,1.5875,1.7150
,Jul,01,02 Jul 2019,1.5766,1.7150
,,02,03 Jul 2019,1.5668,1.7156
,,03,04 Jul 2019,1.5591,1.7162
,,04,05 Jul 2019,1.5500,1.7151
,,05,08 Jul 2019,1.5380,1.7082
,,08,09 Jul 2019,1.5206,1.7043
,,09,10 Jul 2019,1.5033,1.7005
,,10,11 Jul 2019,1.4854,1.6973
,,11,12 Jul 2019,1.4579,1.6933
,,12,15 Jul 2019,1.4502,1.6830
,,15,16 Jul 2019,1.4529,1.6805
,,16,17 Jul 2019,1.4551,1.6773
,,17,18 Jul 2019,1.4625,1.6759
,,18,19 Jul 2019,1.4687,1.6740
,,19,22 Jul 2019,1.5082,1.6742
,,22,23 Jul 2019,1.5140,1.6740
,,23,24 Jul 2019,1.5176,1.6738
,,24,25 Jul 2019,1.5201,1.6732
,,25,26 Jul 2019,1.5253,1.6710
,,26,29 Jul 2019,1.5417,1.6702
,,29,30 Jul 2019,1.5434,1.6687
,,30,31 Jul 2019,1.5563,1.6718
,,31,01 Aug 2019,1.5650,1.6703
,Aug,01,02 Aug 2019,1.5696,1.6661
,,02,05 Aug 2019,1.5904,1.6578
,,05,06 Aug 2019,1.5982,1.6556
,,06,07 Aug 2019,1.6101,1.6545
,,07,08 Aug 2019,1.6134,1.6487
,,08,13 Aug 2019,1.6816,1.6483
,,13,14 Aug 2019,1.6917,1.6480
,,14,15 Aug 2019,1.7027,1.6462
,,15,16 Aug 2019,1.7071,1.6438
,,16,19 Aug 2019,1.7222,1.6328
,,19,20 Aug 2019,1.7107,1.6258
,,20,21 Aug 2019,1.6952,1.6175
,,21,22 Aug 2019,1.6813,1.6135
,,22,23 Aug 2019,1.6648,1.6081
,,23,26 Aug 2019,1.6312,1.5972
,,26,27 Aug 2019,1.6214,1.5933
,,27,28 Aug 2019,1.6147,1.5907
,,28,29 Aug 2019,1.6145,1.5886
,,29,30 Aug 2019,1.6206,1.5886
,,30,02 Sep 2019,1.6095,1.5875
,Sep,02,03 Sep 2019,1.6010,1.5827
,,03,04 Sep 2019,1.5945,1.5796
,,04,05 Sep 2019,1.5882,1.5786
,,05,06 Sep 2019,1.5820,1.5782
,,06,09 Sep 2019,1.5662,1.5733
,,09,10 Sep 2019,1.5636,1.5708
,,10,11 Sep 2019,1.5580,1.5673
,,11,12 Sep 2019,1.5519,1.5621
,,12,13 Sep 2019,1.5407,1.5580
,,13,16 Sep 2019,1.5275,1.5657
,,16,17 Sep 2019,1.5250,1.5686
,,17,18 Sep 2019,1.5183,1.5704
,,18,19 Sep 2019,1.5042,1.5682
,,19,20 Sep 2019,1.4831,1.5628
,,20,23 Sep 2019,1.4251,1.5368
,,23,24 Sep 2019,1.4074,1.5276
,,24,25 Sep 2019,1.4047,1.5237
,,25,26 Sep 2019,1.4121,1.5248
,,26,27 Sep 2019,1.4198,1.5274
,,27,30 Sep 2019,1.4126,1.5273
,,30,01 Oct 2019,1.4007,1.5278
,Oct,01,02 Oct 2019,1.3896,1.5263
,,02,03 Oct 2019,1.3903,1.5250
,,03,04 Oct 2019,1.3837,1.5223
,,04,07 Oct 2019,1.3381,1.5108
,,07,08 Oct 2019,1.3215,1.5063
